company,ticker,date,source_label
AMD,AMD,2026-05-05,AMD Q1 FY2026 (05-05-2026)
ASE Group,ASX,2026-04-29,ASE Group Q1 FY2026 (04-29-2026)
ASML,ASML,2026-04-15,ASML Q1 FY2026 (04-15-2026)
Amazon Web Services,AMZN,2026-04-29,Amazon Web Services Q1 FY2026 (04-29-2026)
Amkor Technology,AMKR,2026-04-27,Amkor Technology Q1 FY2026 (04-27-2026)
Amphenol,APH,2026-04-30,Amphenol Q1 FY2026 (04-30-2026)
Analog Devices,ADI,2026-05-20,Analog Devices Q2 FY2026 (05-20-2026)
Apple,AAPL,2026-04-30,Apple Q2 FY2026 (04-30-2026)
Applied Digital,APLD,2026-04-09,Applied Digital Q3 FY2026 (04-09-2026)
Applied Materials,AMAT,2026-05-14,Applied Materials Q2 FY2026 (05-14-2026)
Applied Optoelectronics,AAOI,2026-05-07,Applied Optoelectronics Q1 FY2026 (05-07-2026)
Arista,ANET,2026-05-05,Arista Q1 FY2026 (05-05-2026)
Arm Holdings,ARM,2026-05-06,Arm Q4 FY2026 (05-06-2026)
Astera Labs,ALAB,2026-05-05,Astera Labs Q1 FY2026 (05-05-2026)
Broadcom,AVGO,2026-06-03,Broadcom Q2 FY2026 (06-03-2026)
Cadence,CDNS,2026-04-27,Cadence Q1 FY2026 (04-27-2026)
Celestica,CLS,2026-04-28,Celestica Q1 FY2026 (04-28-2026)
Cisco,CSCO,2026-05-14,Cisco Q3 FY2026 (05-14-2026)
Coherent,COHR,2026-05-06,Coherent Q3 FY2026 (05-06-2026)
Constellation Energy,CEG,2026-05-11,Constellation Q1 FY2026 (05-11-2026)
Core Scientific,CORZ,2026-05-06,Core Scientific Q1 FY2026 (05-06-2026)
CoreWeave,CRWV,2026-05-08,CoreWeave Q1 FY2026 (05-08-2026)
Corning,GLW,2026-04-28,Corning Q1 FY2026 (04-28-2026)
Credo,CRDO,2026-06-01,Credo Q4 FY2026 (06-01-2026)
Dell,DELL,2026-05-28,Dell Q1 FY2027 (05-28-2026)
Eaton,ETN,2026-05-05,Eaton Q1 FY2026 (05-05-2026)
Fabrinet,FN,2026-05-04,Fabrinet Q3 FY2026 (05-04-2026)
Flex,FLEX,2026-05-06,Flex Q4 FY2026 (05-06-2026)
GE Vernova,GEV,2026-04-22,GE Vernova Q1 FY2026 (04-22-2026)
GlobalFoundries,GFS,2026-05-05,GlobalFoundries Q1 FY2026 (05-05-2026)
Google,GOOGL,2026-04-29,Google Q1 FY2026 (04-29-2026)
HPE,HPE,2026-06-01,HPE Q2 FY2026 (06-01-2026)
IREN,IREN,2026-05-07,IREN Q3 FY2026 (05-07-2026)
Intel,INTC,2026-04-23,Intel Q1 FY2026 (04-23-2026)
Jabil,JBL,2026-03-18,Jabil Q2 FY2026 (03-18-2026)
KLA,KLAC,2026-04-29,KLA Q3 FY2026 (04-29-2026)
Lam Research,LRCX,2026-04-22,Lam Research Q3 FY2026 (04-22-2026)
Linde,LIN,2026-05-01,Linde Q1 FY2026 (05-01-2026)
Lumen Technologies,LUMN,2026-05-06,Lumen Technologies Q1 FY2026 (05-06-2026)
Lumentum,LITE,2026-05-05,Lumentum Q3 FY2026 (05-05-2026)
MACOM,MTSI,2026-05-07,MACOM Q2 FY2026 (05-07-2026)
Marvell,MRVL,2026-05-27,Marvell Q1 FY2027 (05-27-2026)
Meta,META,2026-04-29,Meta Q1 FY2026 (04-29-2026)
Micron,MU,2026-03-18,Micron Q2 FY2026 (03-18-2026)
Microsoft,MSFT,2026-04-29,Microsoft Q3 FY2026 (04-29-2026)
Modine,MOD,2026-02-05,Modine Q3 FY2026 (02-05-2026)
Monolithic Power Systems,MPWR,2026-04-30,Monolithic Power Systems Q1 FY2026 (04-30-2026)
NVIDIA,NVDA,2026-05-20,NVIDIA Q1 FY2027 (05-20-2026)
Navitas,NVTS,2026-05-05,Navitas Q1 FY2026 (05-05-2026)
Nebius,NBIS,2026-05-13,Nebius Q1 FY2026 (05-13-2026)
Onto Innovation,ONTO,2026-05-05,Onto Innovation Q1 FY2026 (05-05-2026)
Oracle,ORCL,2026-03-10,Oracle Q3 FY2026 (03-10-2026)
Power Integrations,POWI,2026-05-07,Power Integrations Q1 FY2026 (05-07-2026)
Qualcomm,QCOM,2026-04-29,Qualcomm Q2 FY2026 (04-29-2026)
Rambus,RMBS,2026-04-27,Rambus Q1 FY2026 (04-27-2026)
Sandisk,SNDK,2026-04-30,Sandisk Q3 FY2026 (04-30-2026)
Seagate,STX,2026-04-28,Seagate Q3 FY2026 (04-28-2026)
Silicon Motion,SIMO,2026-04-29,Silicon Motion Q1 FY2026 (04-29-2026)
Supermicro,SMCI,2026-05-05,Supermicro Q3 FY2026 (05-05-2026)
Synopsys,SNPS,2026-05-27,Synopsys Q2 FY2026 (05-27-2026)
TSMC,TSM,2026-04-16,TSMC Q1 FY2026 (04-16-2026)
TTM Technologies,TTMI,2026-04-29,TTM Technologies Q1 FY2026 (04-29-2026)
Teradyne,TER,2026-04-29,Teradyne Q1 FY2026 (04-29-2026)
Texas Instruments,TXN,2026-04-22,Texas Instruments Q1 FY2026 (04-22-2026)
Vertiv,VRT,2026-04-22,Vertiv Q1 FY2026 (04-22-2026)
Vicor,VICR,2026-04-21,Vicor Q1 FY2026 (04-21-2026)
Vishay,VSH,2026-05-13,Vishay Q1 FY2026 (05-13-2026)
Western Digital,WDC,2026-04-30,Western Digital Q3 FY2026 (04-30-2026)
Wolfspeed,WOLF,2026-05-05,Wolfspeed Q3 FY2026 (05-05-2026)
nVent,NVT,2026-05-01,nVent Q1 FY2026 (05-01-2026)
onsemi,ON,2026-05-04,onsemi Q1 FY2026 (05-04-2026)
