# Hanmi Semiconductor — 2026 Q2 — 반기보고서 (2026.06)
# source label: Hanmi Semiconductor Q2 FY2026 (08-14-2026)
# DART rcept_no: 20260814003665   filed: 20260814   url: https://dart.fss.or.kr/dsaf001/main.do?rcptNo=20260814003665
# financials: 연결 (consolidated), KRW

## FINANCIAL STATEMENTS (fnlttSinglAcntAll)


### 재무상태표
account | 제 47 기 반기말 | YTD | 제 46 기말 | 전전기
자산총계 | 881,563,965,518 | - | 813,331,626,120 | -
유동 자산 | 495,962,023,292 | - | 493,274,637,718 | -
현금및현금성자산 | 88,575,409,916 | - | 276,235,377,529 | -
유동 매출채권 | 258,346,986,309 | - | 62,375,238,496 | -
유동 재고자산 | 143,897,926,220 | - | 150,384,035,752 | -
기타 유동 자산 | 3,143,617,730 | - | 2,659,136,525 | -
기타 유동 금융자산 | 1,998,083,117 | - | 1,620,849,416 | -
비유동 자산 | 385,601,942,226 | - | 320,056,988,402 | -
기타투자자산 | 57,685,276,764 | - | 12,080,856,500 | -
장기금융상품 | 1,710,000 | - | 1,026,000 | -
이연법인세자산 | 27,412,715,510 | - | 23,340,059,049 | -
영업권 이외의 무형자산 | 23,472,265,959 | - | 23,326,987,170 | 4,627,654,000
지분법적용 투자지분 | 8,976,717,517 | - | 9,316,336,247 | -
투자부동산 | 57,984,414,239 | - | 8,749,874,585 | 8,943,602,000
비유동 순확정급여자산 | 93,439,864 | - | 3,814,860,031 | -
기타 비유동 자산 | 191,744,116 | - | 624,830,393 | -
기타 비유동 금융자산 | 432,714,164 | - | 665,177,126 | -
유형자산 | 209,350,944,093 | - | 238,136,981,301 | 174,730,996,000
자본총계 | 746,888,948,978 | - | 690,327,519,537 | -
지배기업의 소유주에게 귀속되는 자본 | 746,888,948,978 | - | 690,327,519,537 | -
자본잉여금 | 41,455,743,069 | - | 41,455,743,069 | -
기타자본구성요소 | 760,830,862 | - | -3,588,190,111 | -
기타포괄손익누계액 | 1,262,833,962 | - | 490,057,578 | -
자본금 | 12,716,420,500 | - | 12,716,420,500 | -
이익잉여금(결손금) | 690,693,120,585 | - | 639,253,488,501 | -
비지배지분 | 0 | - | 0 | -
자본과부채총계 | 881,563,965,518 | - | 813,331,626,120 | -
유동 부채 | 132,140,919,924 | - | 120,120,329,892 | -
유동 계약부채 | 6,429,270,553 | - | 7,364,502,825 | -
유동 리스부채 | 1,501,819,841 | - | 1,339,920,077 | -
유동 충당부채 | 11,116,902,233 | - | 9,681,930,399 | -
당기 법인세부채 | 45,710,142,194 | - | 54,533,750,436 | -
기타 유동 금융부채 | 16,379,184,970 | - | 13,546,142,809 | -
기타 유동 부채 | 8,811,711,601 | - | 12,605,596,426 | -
유동 매입채무 | 42,191,888,532 | - | 21,048,486,920 | -
부채총계 | 134,675,016,540 | - | 123,004,106,583 | -
비유동 부채 | 2,534,096,616 | - | 2,883,776,691 | -
비유동 리스부채 | 778,510,765 | - | 1,214,399,871 | -
비유동 충당부채 | 49,230,781 | - | 52,990,931 | -
기타 비유동 금융부채 | 497,923,324 | - | 486,384,085 | -
기타 비유동 부채 | 1,208,431,746 | - | 1,130,001,804 | -

### 포괄손익계산서
account | 제 47 기 반기 | YTD | 전기 | 전전기
영업외비용 | 204,935,028 | 268,605,712 | - | -
영업외수익 | 7,075,490,842 | 8,770,320,032 | - | -
영업이익(손실) | 130,346,798,331 | 138,803,055,438 | - | -
판매비와관리비 | 20,453,519,143 | 34,687,575,237 | - | -
총포괄손익 | 108,756,844,509 | 128,094,810,068 | - | -
포괄손익, 지배기업의 소유주에게 귀속되는 지분 | 108,756,844,509 | 128,094,810,068 | - | -
매출원가 | 95,800,626,654 | 119,143,361,204 | - | -
기본주당이익(손실) | 1,143 | 1,344 | - | -
희석주당이익(손실) | 1,138 | 1,338 | - | -
금융원가 | 887,232,303 | 2,680,292,564 | - | -
금융수익 | 8,357,771,866 | 25,335,600,742 | - | -
매출총이익 | 155,362,412,702 | 182,921,754,722 | - | -
법인세비용(수익) | 36,105,975,480 | 42,157,958,575 | - | -
기타포괄손익 | 326,095,130 | 632,309,437 | - | -
당기손익으로 재분류될 수 있는 항목(세후기타포괄손익) | 395,514,134 | 772,776,384 | - | -
해외사업장환산외환차이(세후기타포괄손익) | 395,514,134 | 772,776,384 | - | -
당기손익으로 재분류되지 않는항목(세후기타포괄손익) | -69,419,004 | -140,466,947 | - | -
당기손익으로 재분류되지 않는 항목과 관련된 법인세 | -22,162,795 | -44,845,648 | - | -
확정급여제도의 재측정손익(세전기타포괄손익) | -91,581,799 | -185,312,595 | - | -
당기순이익(손실) | 108,430,749,379 | 127,462,500,631 | - | -
지배기업의 소유주에게 귀속되는 당기순이익(손실) | 108,430,749,379 | 127,462,500,631 | - | -
법인세비용차감전순이익(손실) | 144,536,724,859 | 169,620,459,206 | - | -
연구와 개발 비용 | 4,562,095,228 | 9,431,124,047 | - | -
수익(매출액) | 251,163,039,356 | 302,065,115,926 | - | -
지분법 적용대상인 관계기업과 공동기업의 당기순손익에 대한 지분 | -151,168,849 | -339,618,730 | - | -

### 현금흐름표
account | 제 47 기 반기 | YTD | 전기 | 전전기
기초현금및현금성자산 | 276,235,377,529 | - | - | -
기말현금및현금성자산 | 88,575,409,916 | - | - | -
재무활동현금흐름 | -76,750,406,539 | - | - | -
자기주식의 취득으로 인한 현금의 유출 | 0 | - | - | -
임대보증금의 감소 | 13,000,000 | - | - | -
임대보증금의 증가 | 7,000,000 | - | - | -
단기차입금의 증가 | 0 | - | - | -
배당금지급 | 75,882,401,600 | - | - | -
리스부채의 지급 | 862,004,939 | - | - | -
투자활동현금흐름 | -62,898,968,927 | - | - | -
임차보증금의 감소 | 25,970,274 | - | - | -
임차보증금의 증가 | 154,975,425 | - | - | -
