# Jusung Engineering — 2026 Q2 — 반기보고서 (2026.06)
# source label: Jusung Engineering Q2 FY2026 (08-14-2026)
# DART rcept_no: 20260814002613   filed: 20260814   url: https://dart.fss.or.kr/dsaf001/main.do?rcptNo=20260814002613
# financials: 연결 (consolidated), KRW

## FINANCIAL STATEMENTS (fnlttSinglAcntAll)


### 재무상태표
account | 제 32 기 반기말 | YTD | 제 31 기말 | 전전기
자산총계 | 866,434,715,793 | - | 887,892,914,256 | -
유동 자산 | 204,529,333,857 | - | 246,007,880,650 | -
고객과의 계약체결원가나 계약이행원가 중에서 인식한 자산 | 34,752,900 | - | 34,752,900 | -
현금및현금성자산 | 122,990,829,946 | - | 164,383,610,031 | -
유동 계약자산 | 13,152,337,800 | - | 7,864,145,520 | -
유동 매출채권 | 14,270,435,026 | - | 12,044,838,454 | -
유동 재고자산 | 46,036,960,224 | - | 59,944,509,109 | -
기타 유동 자산 | 2,013,515,208 | - | 1,122,262,145 | -
기타 유동 채권 | 691,658,874 | - | 613,762,491 | -
단기금융상품 | 5,338,843,879 | - | 0 | -
비유동 자산 | 661,905,381,936 | - | 641,885,033,606 | -
공정가치측정금융자산 | 48,671,056,775 | - | 31,055,630,297 | -
영업권 이외의 무형자산 | 8,081,507,291 | - | 8,066,677,120 | 7,827,627,000
투자부동산 | 256,231,631,100 | - | 256,231,631,100 | -
비유동 순확정급여자산 | 8,802,501,720 | - | 10,775,941,170 | -
기타 비유동 자산 | 4,041,895,715 | - | 3,593,094,865 | -
기타 비유동 채권 | 1,175,545,405 | - | 1,501,430,429 | -
유형자산 | 330,286,585,858 | - | 325,891,187,527 | 305,672,976,000
사용권자산 | 4,614,658,072 | - | 4,769,441,098 | 5,350,787,000
자본총계 | 591,944,848,941 | - | 590,456,566,398 | -
지배기업의 소유주에게 귀속되는 자본 | 591,944,848,941 | - | 590,456,566,398 | -
자본잉여금 | 109,008,136,048 | - | 109,008,136,048 | -
기타자본구성요소 | -24,927,747,092 | - | -49,855,525,850 | -
기타포괄손익누계액 | 62,535,749,265 | - | 62,583,042,413 | -
자본금 | 24,124,606,000 | - | 24,124,606,000 | -
이익잉여금(결손금) | 421,204,104,720 | - | 444,596,307,787 | -
자본과부채총계 | 866,434,715,793 | - | 887,892,914,256 | -
유동 부채 | 48,642,761,679 | - | 68,048,964,888 | -
단기매입채무 | 12,981,394,955 | - | 8,476,368,514 | -
유동 계약부채 | 10,821,694,800 | - | 41,831,116,540 | -
유동 리스부채 | 700,473,245 | - | 632,280,845 | -
유동 충당부채 | 4,130,669,353 | - | 4,433,032,281 | -
당기 법인세부채 | 512,056,554 | - | 151,453,343 | -
기타 유동 금융부채 | 10,545,954,361 | - | 5,317,808,549 | -
기타 유동 부채 | 8,950,518,411 | - | 7,206,904,816 | -
부채총계 | 274,489,866,852 | - | 297,436,347,858 | -
비유동 부채 | 225,847,105,173 | - | 229,387,382,970 | -
기타장기종업원급여부채 | 603,712,766 | - | 603,712,766 | -
이연법인세부채 | 28,568,448,823 | - | 30,396,196,080 | -
비유동 차입금(사채 포함)의 비유동성 부분 | 45,000,000,000 | - | 45,000,000,000 | -
비유동 리스부채 | 3,946,175,605 | - | 4,217,248,190 | -
비유동 충당부채 | 1,138,507,764 | - | 1,815,552,009 | -
기타 비유동 금융부채 | 101,068,985,850 | - | 100,024,607,196 | -
기타 비유동 부채 | 45,521,274,365 | - | 47,330,066,729 | -

### 포괄손익계산서
account | 제 32 기 반기 | YTD | 전기 | 전전기
영업이익(손실) | 1,423,232,226 | -5,608,001,676 | - | -
기타수익 | 3,593,594,067 | 9,288,786,362 | - | -
기타비용 | 252,363,031 | 476,785,978 | - | -
판매비와관리비 | 28,804,935,843 | 64,463,344,316 | - | -
총포괄손익 | 5,123,972,191 | 3,910,060,409 | - | -
포괄손익, 지배기업의 소유주에게 귀속되는 지분 | 5,123,972,191 | 3,910,060,409 | - | -
매출원가 | 29,653,649,009 | 55,905,567,141 | - | -
기본주당이익(손실) | 120 | 94 | - | -
희석주당이익(손실) | 120 | 94 | - | -
금융비용 | 983,198,795 | 1,888,115,715 | - | -
금융수익 | 901,668,398 | 1,977,807,627 | - | -
매출총이익 | 30,228,168,069 | 58,855,342,640 | - | -
법인세비용(수익) | -818,061,345 | -1,016,334,779 | - | -
기타포괄손익 | -377,022,019 | -399,964,990 | - | -
당기손익으로 재분류될 수 있는 항목(세후기타포괄손익) | 67,396,394 | 267,910,917 | - | -
해외사업장환산외환차이(세후기타포괄손익) | 67,396,394 | 267,910,917 | - | -
당기손익으로 재분류되지 않는항목(세후기타포괄손익) | -444,418,413 | -667,875,907 | - | -
세후기타포괄손익, 지분상품에 대한 투자자산 | -315,204,065 | -315,204,065 | - | -
확정급여제도의 재측정손익(세후기타포괄손익) | -129,214,348 | -352,671,842 | - | -
당기순이익(손실) | 5,500,994,210 | 4,310,025,399 | - | -
지배기업의 소유주에게 귀속되는 당기순이익(손실) | 5,500,994,210 | 4,310,025,399 | - | -
법인세비용차감전순이익(손실) | 4,682,932,865 | 3,293,690,620 | - | -
수익 | 59,881,817,078 | 114,760,909,781 | - | -

### 현금흐름표
account | 제 32 기 반기 | YTD | 전기 | 전전기
기초현금및현금성자산 | 164,383,610,031 | - | - | -
기말현금및현금성자산 | 122,990,829,946 | - | - | -
재무활동현금흐름 | -409,367,000 | - | - | -
재무활동으로부터의 현금유출 | 409,367,000 | - | - | -
임대보증금의 감소 | - | - | - | -
재무활동으로 분류된 리스부채의 지급 | 409,367,000 | - | - | -
투자활동현금흐름 | -23,424,761,400 | - | - | -
투자활동으로부터의 현금유입 | 4,612,916,396 | - | - | -
임차보증금의 감소 | 362,007,634 | - | - | -
대여금의 감소 | 50,600,040 | - | - | -
단기금융상품의 처분 | - | - | - | -
토지 및 건물의 취득세 환입 | 308,722 | - | - | -
정부보조금의 수취 | 4,200,000,000 | - | - | -
회원권의 처분 | - | - | - | -
투자활동으로부터의 현금유출 | 28,037,677,796 | - | - | -
