# Naver Cloud — 2026 Q2 — 반기보고서 (2026.06)
# source label: Naver Cloud Q2 FY2026 (08-14-2026)
# DART rcept_no: 20260814002266   filed: 20260814   url: https://dart.fss.or.kr/dsaf001/main.do?rcptNo=20260814002266
# financials: 연결 (consolidated), KRW

## FINANCIAL STATEMENTS (fnlttSinglAcntAll)


### 재무상태표
account | 제 28 기 반기말 | YTD | 제 27 기말 | 전전기
자산총계 | 44,656,683,622,468 | - | 41,084,496,327,318 | -
유동자산 | 11,320,878,049,411 | - | 10,928,462,735,839 | -
당기손익-공정가치 측정 금융자산 | 590,192,382,301 | - | 625,230,968,353 | -
현금및현금성자산 | 6,384,369,789,988 | - | 5,984,018,799,741 | -
당기법인세자산 | 17,650,548,543 | - | 28,747,759,501 | -
재고자산 | 35,560,688,806 | - | 20,235,420,058 | -
기타유동자산 | 249,462,765,954 | - | 243,585,172,581 | -
단기금융상품 | 2,017,072,977,324 | - | 2,336,927,834,770 | -
매출채권및기타채권 | 2,026,568,896,495 | - | 1,689,716,780,835 | -
비유동자산 | 33,335,805,573,057 | - | 30,156,033,591,479 | -
장기금융상품 | 107,244,580,625 | - | 102,396,914,822 | -
당기손익-공정가치 측정 금융자산 | 2,299,721,576,663 | - | 2,273,153,952,087 | -
이연법인세자산 | 166,317,407,245 | - | 309,675,904,713 | -
무형자산 | 4,661,652,831,119 | - | 3,421,016,567,851 | -
관계기업 및 공동기업 투자 | 17,375,469,887,643 | - | 16,648,890,154,568 | -
투자부동산 | 108,334,319,684 | - | 108,328,402,678 | -
기타포괄손익-공정가치 측정 금융자산 | 2,957,964,362,699 | - | 2,242,763,974,261 | -
매출채권및기타채권 | 427,939,633,850 | - | 445,669,844,589 | -
기타비유동자산 | 76,621,476,357 | - | 74,182,811,964 | -
유형자산 | 4,122,714,609,593 | - | 3,607,613,771,641 | -
사용권자산 | 1,031,824,887,579 | - | 922,341,292,305 | -
자본총계 | 31,029,795,255,828 | - | 28,953,013,365,595 | -
지배기업 소유주지분 | 29,539,564,060,069 | - | 27,581,956,984,245 | -
자본잉여금 | 1,608,938,639,590 | - | 1,586,330,390,297 | -
기타자본구성요소 | -340,975,141,480 | - | -1,646,530,116,626 | -
자본금 | 16,490,499,900 | - | 16,481,339,500 | -
이익잉여금 | 28,255,110,062,059 | - | 27,625,675,371,074 | -
비지배지분 | 1,490,231,195,759 | - | 1,371,056,381,350 | -
자본및부채총계 | 44,656,683,622,468 | - | 41,084,496,327,318 | -
유동부채 | 7,614,541,505,993 | - | 8,018,876,510,291 | -
당기손익-공정가치 측정 금융부채 | 435,073,630,683 | - | 435,073,630,683 | -
유동성장기차입금 | 2,221,350,132 | - | 0 | -
유동성사채 | 302,811,710,380 | - | 1,597,174,210,005 | -
리스부채 | 288,771,378,622 | - | 233,036,237,572 | -
충당부채 | 8,453,637,586 | - | 7,487,459,455 | -
당기법인세부채 | 268,708,567,810 | - | 419,146,787,042 | -
기타유동부채 | 3,917,694,428,688 | - | 3,654,486,608,296 | -
단기차입금 | 764,397,778,173 | - | 132,159,574,017 | -
매입채무및기타채무 | 1,626,409,023,919 | - | 1,540,312,003,221 | -
부채총계 | 13,626,888,366,640 | - | 12,131,482,961,723 | -
비유동부채 | 6,012,346,860,647 | - | 4,112,606,451,432 | -
매입채무및기타채무 | 265,437,594,752 | - | 203,259,040,280 | -
이연법인세부채 | 1,061,204,629,101 | - | 854,473,540,808 | -
리스부채 | 1,016,373,744,454 | - | 954,765,033,419 | -
사채 | 1,718,026,480,359 | - | 382,248,922,805 | -
장기차입금 | 1,107,136,176,362 | - | 874,112,668,001 | -
충당부채 | 20,172,589,480 | - | 20,277,334,458 | -
순확정급여부채 | 823,930,646,139 | - | 823,311,693,402 | -
기타비유동부채 | 65,000,000 | - | 158,218,259 | -

### 포괄손익계산서
account | 제 28 기 반기 | YTD | 전기 | 전전기
영업이익 | 520,309,210,901 | 1,062,066,552,592 | - | -
기타수익 | 91,451,629,335 | 119,586,794,636 | - | -
기타비용 | 101,974,162,384 | 257,207,102,978 | - | -
지분법손익 | 238,652,446,262 | 107,114,218,710 | - | -
총포괄손익 | 79,901,993,364 | 2,415,632,199,979 | - | -
비지배지분 | 14,714,102,380 | 49,546,831,587 | - | -
지배기업 소유주지분 | 65,187,890,984 | 2,366,085,368,392 | - | -
기본주당순이익 | 4,665 | 6,573 | - | -
희석주당순이익 | 4,635 | 6,512 | - | -
금융비용 | 147,894,409,805 | 245,481,072,299 | - | -
금융수익 | 244,323,379,399 | 394,537,324,284 | - | -
법인세비용 | 197,764,602,378 | 300,240,623,451 | - | -
영업비용 | 2,868,445,869,394 | 5,567,749,630,603 | - | -
기타포괄손익 | -624,370,540,931 | 1,420,338,016,893 | - | -
후속기간에 당기손익으로 재분류되는 항목 | 127,062,446,935 | 913,334,442,398 | - | -
현금흐름위험회피 파생상품평가손익 | 423,533,233 | 2,897,954,029 | - | -
해외사업환산손익 | 32,878,781,101 | 252,523,027,214 | - | -
지분법자본변동 | -93,760,132,601 | -657,913,461,155 | - | -
후속기간에 당기손익으로 재분류되지 않는 항목 | -751,432,987,866 | 507,003,574,495 | - | -
기타포괄손익-공정가치 측정 지분상품 평가손익 | -799,326,182,901 | 481,015,220,407 | - | -
기타포괄손익-공정가치 측정 지분상품 처분손익 | -577,859,880 | -577,859,880 | - | -
순확정급여부채 재측정요소 | 41,524,794,499 | 41,439,945,679 | - | -
재평가손익 | 4,599,558,097 | 4,599,558,097 | - | -
지분법자본변동 | 2,346,702,319 | -19,473,289,808 | - | -
반기순이익 | 704,272,534,295 | 995,294,183,086 | - | -
비지배지분 | 5,652,991,328 | 11,347,752,391 | - | -
지배기업 소유주지분 | 698,619,542,967 | 983,946,430,695 | - | -
법인세비용차감전순이익 | 902,037,136,673 | 1,295,534,806,537 | - | -
영업수익 | 3,388,755,080,295 | 6,629,816,183,195 | - | -
이자수익 | 57,169,042,965 | 114,918,091,592 | - | -

### 현금흐름표
account | 제 28 기 반기 | YTD | 전기 | 전전기
기초현금및현금성자산 | 5,984,018,799,741 | - | - | -
반기말현금및현금성자산 | 6,384,369,789,988 | - | - | -
재무활동현금흐름 | 297,300,775,362 | - | - | -
비지배지분과의 거래로 인한 현금유출 | 32,019,014,383 | - | - | -
리스부채의 상환 | 109,348,346,847 | - | - | -
사채의 발행 | 1,587,568,074,683 | - | - | -
비지배지분과의 거래로 인한 현금유입 | 48,401,079,172 | - | - | -
주식기준보상관련 현금유입 | 36,613,539,500 | - | - | -
비유동차입금의 차입 | 204,372,137,540 | - | - | -
유동차입금의 차입 | 2,219,491,222,460 | - | - | -
사채의 상환 | 1,654,960,000,000 | - | - | -
유동차입금의 상환 | 1,609,224,578,123 | - | - | -
기타재무활동으로 인한 현금유입액 | 2,541,000 | - | - | -
종속회사 유상증자 | 0 | - | - | -
배당금 지급 | 393,595,879,640 | - | - | -
투자활동현금흐름 | -1,195,118,206,549 | - | - | -
관계기업및공동기업투자주식의 처분 | 217,703,820,172 | - | - | -
장기금융상품의 감소 | 76,959,275,223 | - | - | -
장기대여금의 감소 | 0 | - | - | -
단기금융상품의 감소 | 2,173,189,187,513 | - | - | -
단기대여금의 감소 | 375,000,000 | - | - | -
관계기업및공동기업투자주식의 취득 | 203,883,508,137 | - | - | -
장기금융상품의 증가 | 81,976,714,767 | - | - | -
단기금융상품의 증가 | 1,845,862,571,776 | - | - | -
단기대여금의 증가 | 100,000,000 | - | - | -
기타투자활동으로 인한 현금유입액 | 790,016,005 | - | - | -
기타투자활동으로 인한 현금유출액 | 936,082,939 | - | - | -
리스채권의 회수 | 20,323,061,782 | - | - | -
사업결합으로 인한 현금의 순증감 | 550,051,551,982 | - | - | -
무형자산의 처분 | 4,163,525,818 | - | - | -
유형자산의 처분 | 15,560,459,826 | - | - | -
기타포괄손익-공정가치 측정 금융자산의 처분 | 22,230,000 | - | - | -
당기손익-공정가치 측정 금융자산의 처분 | 819,686,871,734 | - | - | -
기타포괄손익-공정가치 측정 금융자산의 취득 | 44,174,875,288 | - | - | -
당기손익-공정가치 측정 금융자산의 취득 | 942,844,838,232 | - | - | -
무형자산의 취득 | 44,298,448,328 | - | - | -
투자부동산의 취득 | 5,917,006 | - | - | -
유형자산의 취득 | 809,757,146,167 | - | - | -
영업활동현금흐름 | 1,186,557,718,996 | - | - | -
영업으로부터 창출된 현금흐름 | 1,437,264,151,377 | - | - | -
