# American Electric Power (AEP) 10-Q filed 2026-07-30 — XBRL segment revenue and customer concentration
# source label: American Electric Power 10-Q (07-30-2026)

## XBRL segment revenue (10-Q; revenue by product line, as filed)
- Vertically Integrated Utilities: $3.05B (quarter 2026-04-01 to 2026-06-30), +4.0% YoY vs $2.93B (period ending 2025-06-30)
- Transmission and Distribution Utilities: $1.57B (quarter 2026-04-01 to 2026-06-30), +8.7% YoY vs $1.44B (period ending 2025-06-30)
- Generation & Marketing Revenues: $693.0M (quarter 2026-04-01 to 2026-06-30), +25.5% YoY vs $552.0M (period ending 2025-06-30)
- Other Revenues: $174.0M (quarter 2026-04-01 to 2026-06-30), +93.3% YoY vs $90.0M (period ending 2025-06-30)
- Residential Revenues: $1.73B (quarter 2026-04-01 to 2026-06-30), +5.6% YoY vs $1.64B (period ending 2025-06-30)
- Commercial Revenues: $1.32B (quarter 2026-04-01 to 2026-06-30), +13.2% YoY vs $1.17B (period ending 2025-06-30)
- Industrial Revenues: $847.0M (quarter 2026-04-01 to 2026-06-30), -0.2% YoY vs $849.0M (period ending 2025-06-30)
- Other Retail Revenues: $74.0M (quarter 2026-04-01 to 2026-06-30), -2.6% YoY vs $76.0M (period ending 2025-06-30)
- Total Retail Revenues: $3.98B (quarter 2026-04-01 to 2026-06-30), +6.5% YoY vs $3.74B (period ending 2025-06-30)
- Generation Revenues: $283.0M (quarter 2026-04-01 to 2026-06-30), +2.9% YoY vs $275.0M (period ending 2025-06-30)
- Transmission Revenues: $437.0M (quarter 2026-04-01 to 2026-06-30), +1.4% YoY vs $431.0M (period ending 2025-06-30)
- Retail, Trading and Marketing Revenues: $587.0M (quarter 2026-04-01 to 2026-06-30), +12.5% YoY vs $522.0M (period ending 2025-06-30)
- Total Wholesale and Competitive Retail Revenues: $1.31B (quarter 2026-04-01 to 2026-06-30), +6.4% YoY vs $1.23B (period ending 2025-06-30)
