# Argan (AGX) 10-Q filed 2026-09-02 — XBRL segment revenue and customer concentration
# source label: Argan 10-Q (09-02-2026)

## XBRL customer concentration (10-Q; us-gaap:ConcentrationRiskPercentage1 by srt:MajorCustomersAxis)
- Major Customer Five: 12% of accounts receivable, period 2026-07-31 to 2026-07-31
- Major Customer Four: 13% of revenue, period 2026-05-01 to 2026-07-31
- Major Customer Four: 11% of revenue, period 2026-02-01 to 2026-07-31
- Major Customer One: 23% of AssetsTotal, period 2026-01-31 to 2026-01-31
- Major Customer One: 22% of AssetsTotal, period 2026-07-31 to 2026-07-31
- Major Customer One: 29% of accounts receivable, period 2025-02-01 to 2026-01-31
- Major Customer One: 23% of accounts receivable, period 2026-07-31 to 2026-07-31
- Major Customer One: 30% of revenue, period 2025-05-01 to 2025-07-31
- Major Customer One: 27% of revenue, period 2025-02-01 to 2025-07-31
- Major Customer One: 15% of revenue, period 2026-05-01 to 2026-07-31
- Major Customer One: 15% of revenue, period 2026-02-01 to 2026-07-31
- Major Customer Three: 19% of AssetsTotal, period 2026-01-31 to 2026-01-31
- Major Customer Three: 11% of AssetsTotal, period 2026-07-31 to 2026-07-31
- Major Customer Three: 11% of accounts receivable, period 2026-01-31 to 2026-01-31
- Major Customer Three: 14% of accounts receivable, period 2026-07-31 to 2026-07-31
- Major Customer Three: 13% of revenue, period 2025-05-01 to 2025-07-31
- Major Customer Three: 13% of revenue, period 2026-05-01 to 2026-07-31
- Major Customer Three: 11% of revenue, period 2026-02-01 to 2026-07-31
- Major Customer Two: 22% of AssetsTotal, period 2026-01-31 to 2026-01-31
- Major Customer Two: 16% of AssetsTotal, period 2026-07-31 to 2026-07-31
- Major Customer Two: 19% of accounts receivable, period 2025-02-01 to 2026-01-31
- Major Customer Two: 16% of accounts receivable, period 2026-07-31 to 2026-07-31
- Major Customer Two: 23% of revenue, period 2025-02-01 to 2025-07-31
- Major Customer Two: 17% of revenue, period 2025-05-01 to 2025-07-31
- Major Customer Two: 15% of revenue, period 2026-05-01 to 2026-07-31
- Major Customer Two: 14% of revenue, period 2026-02-01 to 2026-07-31
