# FormFactor (FORM) 10-Q filed 2026-08-04 — XBRL segment revenue and customer concentration
# source label: FormFactor 10-Q (08-04-2026)

## XBRL customer concentration (10-Q; us-gaap:ConcentrationRiskPercentage1 by srt:MajorCustomersAxis)
- Customers Representing 10% or More of Total Revenues: 47.8% of revenue, period 2025-03-30 to 2025-06-28
- Customers Representing 10% or More of Total Revenues: 36.4% of revenue, period 2024-12-29 to 2025-06-28
- Customers Representing 10% or More of Total Revenues: 35.3% of revenue, period 2026-03-29 to 2026-06-27
- Customers Representing 10% or More of Total Revenues: 37.1% of revenue, period 2025-12-28 to 2026-06-27
- Intel Corporation: 12.4% of revenue, period 2025-03-30 to 2025-06-28
- Intel Corporation: 12.2% of revenue, period 2024-12-29 to 2025-06-28
- Intel Corporation: 10.3% of revenue, period 2025-12-28 to 2026-06-27
- Major Customer 1: 15.8% of accounts receivable, period 2025-12-28 to 2026-03-28
- Major Customer 1: 17.1% of accounts receivable, period 2025-12-28 to 2026-06-27
- Major Customer 2: 10.8% of accounts receivable, period 2025-12-28 to 2026-03-28
- Major Customer 2: 16.9% of accounts receivable, period 2025-12-28 to 2026-06-27
- Major Customer 3: 12.9% of accounts receivable, period 2025-12-28 to 2026-06-27
- SK hynix Inc.: 25% of revenue, period 2025-03-30 to 2025-06-28
- SK hynix Inc.: 24.2% of revenue, period 2024-12-29 to 2025-06-28
- SK hynix Inc.: 26.8% of revenue, period 2025-12-28 to 2026-06-27
- SK hynix Inc.: 24.3% of revenue, period 2026-03-29 to 2026-06-27
- Taiwan Semiconductor Manufacturing Company Ltd.: 10.4% of revenue, period 2025-03-30 to 2025-06-28
- Taiwan Semiconductor Manufacturing Company Ltd.: 11% of revenue, period 2026-03-29 to 2026-06-27
- Two Major Customers: 10% of revenue, period 2024-12-29 to 2025-06-28
- Two Major Customers: 10% of revenue, period 2025-12-28 to 2026-06-27

## XBRL segment revenue (10-Q; revenue by business segment, as filed)
- Probe Cards: $209.7M (quarter 2026-03-29 to 2026-06-27), +29.4% YoY vs $162.1M (period ending 2025-06-28)
- Systems: $48.5M (quarter 2026-03-29 to 2026-06-27), +44.1% YoY vs $33.7M (period ending 2025-06-28)
