# Monolithic Power Systems (MPWR) 10-Q filed 2026-08-05 — XBRL segment revenue and customer concentration
# source label: Monolithic Power Systems 10-Q (08-05-2026)

## XBRL customer concentration (10-Q; us-gaap:ConcentrationRiskPercentage1 by srt:MajorCustomersAxis)
- Distributor A: 35% of accounts receivable, period 2025-01-01 to 2025-12-31
- Distributor A: 33% of accounts receivable, period 2026-01-01 to 2026-06-30
- Distributor A: 25% of revenue, period 2025-01-01 to 2025-06-30
- Distributor A: 25% of revenue, period 2025-04-01 to 2025-06-30
- Distributor A: 28% of revenue, period 2026-04-01 to 2026-06-30
- Distributor A: 27% of revenue, period 2026-01-01 to 2026-06-30
- Distributor B: 14% of accounts receivable, period 2025-01-01 to 2025-12-31
- Distributor B: 15% of accounts receivable, period 2026-01-01 to 2026-06-30
- Distributor B: 18% of revenue, period 2025-01-01 to 2025-06-30
- Distributor B: 17% of revenue, period 2025-04-01 to 2025-06-30
- Distributor B: 15% of revenue, period 2026-01-01 to 2026-06-30
- Distributor B: 15% of revenue, period 2026-04-01 to 2026-06-30
- Distributor C: 11% of revenue, period 2025-04-01 to 2025-06-30
- Distributor C: 11% of revenue, period 2025-01-01 to 2025-06-30
- Distributor D: 10% of revenue, period 2026-04-01 to 2026-06-30
- Value-added reseller A: 20% of accounts receivable, period 2026-01-01 to 2026-06-30
