# MACOM (MTSI) 10-Q filed 2026-08-06 — XBRL segment revenue and customer concentration
# source label: MACOM 10-Q (08-06-2026)

## XBRL customer concentration (10-Q; us-gaap:ConcentrationRiskPercentage1 by srt:MajorCustomersAxis)
- Customer A: 11% of accounts receivable, period 2024-09-28 to 2025-07-04
- Customer A: 26% of accounts receivable, period 2025-10-04 to 2026-07-03
- Customer A: 13% of revenue, period 2024-09-28 to 2025-07-04
- Customer A: 13% of revenue, period 2025-04-05 to 2025-07-04
- Customer A: 19% of revenue, period 2025-10-04 to 2026-07-03
- Customer A: 23% of revenue, period 2026-04-04 to 2026-07-03
- Customer B: 11% of accounts receivable, period 2024-09-28 to 2025-07-04
- Customer B: 0% of accounts receivable, period 2025-10-04 to 2026-07-03
- Customer C: 11% of accounts receivable, period 2024-09-28 to 2025-07-04
- Customer C: 0% of accounts receivable, period 2025-10-04 to 2026-07-03
- Customer C: 0% of revenue, period 2025-04-05 to 2025-07-04
- Customer C: 11% of revenue, period 2024-09-28 to 2025-07-04
- Customer C: 13% of revenue, period 2026-04-04 to 2026-07-03
- Customer C: 12% of revenue, period 2025-10-04 to 2026-07-03
- Top Ten Customers: 58% of revenue, period 2024-09-28 to 2025-07-04
- Top Ten Customers: 60% of revenue, period 2026-04-04 to 2026-07-03
- Top Ten Customers: 57% of revenue, period 2025-10-04 to 2026-07-03
