# Navitas (NVTS) 10-Q filed 2026-07-27 — XBRL segment revenue and customer concentration
# source label: Navitas 10-Q (07-27-2026)

## XBRL customer concentration (10-Q; us-gaap:ConcentrationRiskPercentage1 by srt:MajorCustomersAxis)
- Distributor A: 26% of accounts receivable, period 2025-01-01 to 2025-12-31
- Distributor A: 50% of accounts receivable, period 2026-01-01 to 2026-06-30
- Distributor A: 53% of revenue, period 2025-01-01 to 2025-06-30
- Distributor A: 54% of revenue, period 2025-04-01 to 2025-06-30
- Distributor A: 69% of revenue, period 2026-01-01 to 2026-06-30
- Distributor A: 71% of revenue, period 2026-04-01 to 2026-06-30
- Distributor B: 18% of accounts receivable, period 2025-01-01 to 2025-12-31
- Distributor B: 17% of accounts receivable, period 2026-01-01 to 2026-06-30
- Distributor C: 15% of accounts receivable, period 2026-01-01 to 2026-06-30
- Distributor D: 13% of accounts receivable, period 2025-01-01 to 2025-06-30
- Distributor D: 12% of accounts receivable, period 2026-01-01 to 2026-06-30
