# Power Integrations (POWI) 10-Q filed 2026-08-06 — XBRL segment revenue and customer concentration
# source label: Power Integrations 10-Q (08-06-2026)

## XBRL customer concentration (10-Q; us-gaap:ConcentrationRiskPercentage1 by srt:MajorCustomersAxis)
- Customer A: 32% of accounts receivable, period 2025-01-01 to 2025-12-31
- Customer A: 38% of accounts receivable, period 2026-04-01 to 2026-06-30
- Customer A: 32% of revenue, period 2025-01-01 to 2025-06-30
- Customer A: 33% of revenue, period 2025-04-01 to 2025-06-30
- Customer A: 33% of revenue, period 2026-04-01 to 2026-06-30
- Customer A: 31% of revenue, period 2026-01-01 to 2026-06-30
- Customer B: 11% of revenue, period 2026-04-01 to 2026-06-30
- Customer B: 10% of revenue, period 2026-01-01 to 2026-06-30
- Customer C: 18% of accounts receivable, period 2025-01-01 to 2025-12-31
- Customer C: 13% of accounts receivable, period 2026-04-01 to 2026-06-30
- Customer C: 11% of revenue, period 2025-04-01 to 2025-06-30
- Customer C: 11% of revenue, period 2026-04-01 to 2026-06-30
- Customer C: 10% of revenue, period 2026-01-01 to 2026-06-30
- Customer D: 11% of accounts receivable, period 2025-01-01 to 2025-12-31
- Customer D: 11% of accounts receivable, period 2026-04-01 to 2026-06-30
- OEMs: 16% of revenue, period 2025-04-01 to 2025-06-30
- OEMs: 16% of revenue, period 2025-01-01 to 2025-06-30
- OEMs: 16% of revenue, period 2026-04-01 to 2026-06-30
- OEMs: 16% of revenue, period 2026-01-01 to 2026-06-30
- Top Ten Customers: 89% of accounts receivable, period 2025-01-01 to 2025-12-31
- Top Ten Customers: 90% of accounts receivable, period 2026-01-01 to 2026-06-30
- Top Ten Customers: 81% of revenue, period 2025-01-01 to 2025-06-30
- Top Ten Customers: 81% of revenue, period 2025-04-01 to 2025-06-30
- Top Ten Customers: 81% of revenue, period 2026-01-01 to 2026-06-30
- Top Ten Customers: 82% of revenue, period 2026-04-01 to 2026-06-30
