# Supermicro (SMCI) 10-Q filed 2026-05-11 — XBRL segment revenue and customer concentration
# source label: Supermicro 10-Q (05-11-2026)

## XBRL customer concentration (10-Q; us-gaap:ConcentrationRiskPercentage1 by srt:MajorCustomersAxis)
- Compuware: 94.8% of PowerSuppliesPurchasedBenchmark, period 2024-07-01 to 2025-03-31
- Compuware: 93.7% of PowerSuppliesPurchasedBenchmark, period 2025-01-01 to 2025-03-31
- Compuware: 94% of PowerSuppliesPurchasedBenchmark, period 2025-07-01 to 2026-03-31
- Compuware: 92.4% of PowerSuppliesPurchasedBenchmark, period 2026-01-01 to 2026-03-31
- Customer A: 32.2% of accounts receivable, period 2025-07-01 to 2026-03-31
- Customer A: 15.1% of revenue, period 2024-07-01 to 2025-03-31
- Customer A: 38.5% of revenue, period 2025-07-01 to 2026-03-31
- Customer A: 27% of revenue, period 2026-01-01 to 2026-03-31
- Customer B: 33.4% of accounts receivable, period 2024-07-01 to 2025-06-30
- Customer B: 16.8% of accounts receivable, period 2025-07-01 to 2026-03-31
- Customer B: 22.5% of revenue, period 2025-01-01 to 2025-03-31
- Customer B: 23.5% of revenue, period 2024-07-01 to 2025-03-31
- Customer C: 13.6% of accounts receivable, period 2024-07-01 to 2025-06-30
- Customer C: 13.2% of accounts receivable, period 2025-07-01 to 2026-03-31
- Customer C: 14.1% of revenue, period 2025-01-01 to 2025-03-31
- Customer D: 12.9% of accounts receivable, period 2025-07-01 to 2026-03-31
- Customer D: 13.5% of revenue, period 2024-07-01 to 2025-03-31
- Customer D: 10.3% of revenue, period 2026-01-01 to 2026-03-31

## XBRL segment revenue (10-Q; revenue by product line, as filed)
- Service and Software: $140.5M (quarter 2026-01-01 to 2026-03-31), +95.7% YoY vs $71.8M (period ending 2025-03-31)
- Service: $104.4M (quarter 2026-01-01 to 2026-03-31), +82.5% YoY vs $57.2M (period ending 2025-03-31)
