# Semtech (SMTC) 10-Q filed 2026-08-26 — XBRL segment revenue and customer concentration
# source label: Semtech 10-Q (08-26-2026)

## XBRL customer concentration (10-Q; us-gaap:ConcentrationRiskPercentage1 by srt:MajorCustomersAxis)
- Customer A: 13% of accounts receivable, period 2025-01-27 to 2026-01-25
- Customer A: 20% of accounts receivable, period 2026-01-26 to 2026-07-26
- Customer A: 15% of revenue, period 2026-01-26 to 2026-07-26
- Customer A: 12% of revenue, period 2026-04-27 to 2026-07-26
- Customer B: 12% of accounts receivable, period 2025-01-27 to 2026-01-25
- Customer B: 15% of revenue, period 2025-04-28 to 2025-07-27
- Customer B: 12% of revenue, period 2025-01-27 to 2025-07-27
- Customer B: 15% of revenue, period 2026-01-26 to 2026-07-26
- Customer B: 15% of revenue, period 2026-04-27 to 2026-07-26
- Customer C: 12% of accounts receivable, period 2025-01-27 to 2026-01-25
- Customer C: 12% of accounts receivable, period 2026-01-26 to 2026-07-26
- Customer D: 10% of accounts receivable, period 2025-01-27 to 2026-01-25
- Customer D: 11% of accounts receivable, period 2026-01-26 to 2026-07-26
