# Southern Company (SO) 10-Q filed 2026-07-30 — XBRL segment revenue and customer concentration
# source label: Southern Company 10-Q (07-30-2026)

## XBRL segment revenue (10-Q; revenue by product line, as filed)
- Retail electric revenues: $4.81B (quarter 2026-04-01 to 2026-06-30), +0.7% YoY vs $4.78B (period ending 2025-06-30)
- Wholesale electric revenues: $510.0M (quarter 2026-04-01 to 2026-06-30), -2.7% YoY vs $524.0M (period ending 2025-06-30)
- Other electric revenues: $242.0M (quarter 2026-04-01 to 2026-06-30), +10.0% YoY vs $220.0M (period ending 2025-06-30)
- Alternative revenue programs: $4.0M (quarter 2026-04-01 to 2026-06-30), -144.4% YoY vs $-9.0M (period ending 2025-06-30)
- Natural Gas: $966.0M (quarter 2026-04-01 to 2026-06-30), -1.3% YoY vs $979.0M (period ending 2025-06-30)
- Other revenues: $450.0M (quarter 2026-04-01 to 2026-06-30), -1.5% YoY vs $457.0M (period ending 2025-06-30)
- Residential: $353.0M (quarter 2026-04-01 to 2026-06-30), -10.4% YoY vs $394.0M (period ending 2025-06-30)
- Commercial: $89.0M (quarter 2026-04-01 to 2026-06-30), -5.3% YoY vs $94.0M (period ending 2025-06-30)
- Industrial: $6.0M (quarter 2026-04-01 to 2026-06-30), -14.3% YoY vs $7.0M (period ending 2025-06-30)
- Other: $2.0M (quarter 2026-04-01 to 2026-06-30), -60.0% YoY vs $5.0M (period ending 2025-06-30)
- Transportation: $358.0M (quarter 2026-04-01 to 2026-06-30), +8.2% YoY vs $331.0M (period ending 2025-06-30)
- Natural gas distribution revenues: $873.0M (quarter 2026-04-01 to 2026-06-30), -1.5% YoY vs $886.0M (period ending 2025-06-30)
- PPA energy revenues: $301.0M (quarter 2026-04-01 to 2026-06-30), -2.9% YoY vs $310.0M (period ending 2025-06-30)
- PPA capacity revenues: $145.0M (quarter 2026-04-01 to 2026-06-30), -5.8% YoY vs $154.0M (period ending 2025-06-30)
- Non-PPA revenues: $64.0M (quarter 2026-04-01 to 2026-06-30), +6.7% YoY vs $60.0M (period ending 2025-06-30)
- Gas marketing services: $73.0M (quarter 2026-04-01 to 2026-06-30), -9.9% YoY vs $81.0M (period ending 2025-06-30)
- Other natural gas revenues: $75.0M (quarter 2026-04-01 to 2026-06-30), -12.8% YoY vs $86.0M (period ending 2025-06-30)
