# Western Digital (WDC) 10-Q filed 2026-05-01 — XBRL segment revenue and customer concentration
# source label: Western Digital 10-Q (05-01-2026)

## XBRL customer concentration (10-Q; us-gaap:ConcentrationRiskPercentage1 by srt:MajorCustomersAxis)
- Customer One: 20% of accounts receivable, period 2024-06-29 to 2025-06-27
- Customer One: 28% of accounts receivable, period 2025-06-28 to 2026-04-03
- Customer One: 18% of revenue, period 2024-12-28 to 2025-03-28
- Customer One: 18% of revenue, period 2024-06-29 to 2025-03-28
- Customer One: 16% of revenue, period 2025-06-28 to 2026-04-03
- Customer One: 17% of revenue, period 2026-01-03 to 2026-04-03
- Customer Three: 12% of accounts receivable, period 2024-06-29 to 2025-06-27
- Customer Three: 13% of revenue, period 2024-12-28 to 2025-03-28
- Customer Three: 13% of revenue, period 2025-06-28 to 2026-04-03
- Customer Three: 11% of revenue, period 2026-01-03 to 2026-04-03
- Customer Two: 19% of accounts receivable, period 2024-06-29 to 2025-06-27
- Customer Two: 12% of accounts receivable, period 2025-06-28 to 2026-04-03
- Customer Two: 16% of revenue, period 2024-12-28 to 2025-03-28
- Customer Two: 11% of revenue, period 2024-06-29 to 2025-03-28
- Customer Two: 15% of revenue, period 2026-01-03 to 2026-04-03
- Customer Two: 15% of revenue, period 2025-06-28 to 2026-04-03
- Top Ten Customers: 73% of revenue, period 2024-12-28 to 2025-03-28
- Top Ten Customers: 68% of revenue, period 2024-06-29 to 2025-03-28
- Top Ten Customers: 71% of revenue, period 2026-01-03 to 2026-04-03
- Top Ten Customers: 74% of revenue, period 2025-06-28 to 2026-04-03

## XBRL segment revenue (10-Q; revenue by business segment, as filed)
- HDD: $3.34B (quarter 2026-01-03 to 2026-04-03), +45.5% YoY vs $2.29B (period ending 2025-03-28)
