SOURCE: 法說會 audio transcribed locally with faster-whisper (small) -- https://www.youtube.com/watch?v=-u2BzwbeDqg
VIDEO TITLE: 【完整公開】鴻海第二季法說會 聚焦AI及營運展望 @投資看非凡
CALL DATE: 08-12-2026
QUARTER: Q2 FY2026
# source label: Foxconn Q2 FY2026 (08-12-2026)
# note: verbatim Chinese speech-to-text, no speaker labels; treat numbers with care and
#       cross-check against the MOPS deck when a figure looks off
# segments: 1535   characters: 16,479

---
[00:46] 各位投資以及媒體先進大家好
[00:49] 我是Christine
[00:50] 歡迎參加鴻海公司法人說明會
[00:53] 今天我們邀請到輪值CEO蔣吉恆先生
[00:57] 財務長黃德財先生
[00:59] 以及發言人James為各位說明
[01:02] 法說會的時間預計是一個小時
[01:04] 第一階段是簡報
[01:06] 第二階段是問答時間
[01:09] 在會議正式進行前請大家先詳細閱讀簡報中的免責聲明
[01:14] 接下來就進入法說會的第一個階段簡報
[01:18] 這次有四個議題分別是
[01:20] 2026年第二季回顧
[01:23] 第三季季全年展望
[01:25] 重要事業進展
[01:26] 以及近期重大事件
[01:29] 在進入財務數字說明前
[01:32] 我們想先跟各位分享這一季的重點
[01:35] 首先
[01:36] 第二季以及上半年的營業利益年增幅度都超過了六成
[01:41] 遠高於營收的成長幅度
[01:43] 這顯示了鴻海的核心獲利能力正在快速的提升
[01:49] 其次
[01:50] 展望第三季
[01:51] 我們預計季對機會顯著成長年對年達到強勁成長
[01:56] 全年的展望維持強勁成長看法
[01:59] 第三
[02:00] 我們提供的不是單一的產品而是從零組件
[02:04] 與模組到伺服器的機櫃
[02:07] 到模組化資料中心
[02:09] 超轉中心的整個AI系統
[02:12] 第四
[02:13] 客戶的AI資本支出持續增加
[02:16] 我們會積極擴充全球的產能來滿足客戶需求
[02:21] 預期明年的營運將會持續成長
[02:25] 現在就邀請財務長David向大家說明
[02:28] 第二季的財務表現
[02:31] 好謝謝Christine
[02:33] 各位在線上的投資先進以及媒體朋友們
[02:37] 大家好我是黃德財
[02:39] 接下來由我向大家報告
[02:41] 鴻海2026年
[02:43] 第二季的財報表現
[02:46] 請大家看第六頁
[02:48] 2026年第二季損益表
[02:52] 第二季營收為新台幣2.53兆元
[02:56] 較去年同級成長41%
[02:59] 創下歷年的同級新高
[03:02] 若以第一季相比
[03:03] 也成長19%
[03:06] 反映主要業務的持續成長
[03:09] 在獲利表現方面
[03:12] 第二季毛利率為6.12%
[03:15] 較去年同級下降0.21%
[03:19] 主要受到產品組合變化影響
[03:21] 不過毛利金額仍較去年同級成長36%
[03:27] 營業利益率為3.75%
[03:30] 較去年同級增加0.6%
[03:34] 主要受惠於營收成長帶動毛利增加
[03:38] 以及費用率下降所致
[03:41] 營業利益達948億元
[03:44] 延增68%
[03:46] 增幅明顯高於營收成長
[03:49] 主要是毛利增加36%
[03:53] 而費用頂增加5%
[03:55] 因此營業利益成長相當強勁
[03:58] 也創下歷年同級新高
[04:02] 接著看業外的部分
[04:04] 本季獲利0.6億元
[04:06] 較去年同級減少約85億元
[04:09] 主要來自資金投資及淨利息
[04:12] 其中
[04:13] 基金投資獲利較去年同級減少59億元
[04:17] 主要是部分投資標的去年上市
[04:20] 當時股價長幅較大
[04:22] 淨利支出則增加27億元
[04:25] 主要因AI業務及營運規模的擴大
[04:28] 帶動資金需求增加所致
[04:30] 不過也同時讓本季營業利益
[04:32] 較去年同級大幅增加
