SOURCE: 法說會 audio transcribed locally with faster-whisper (small) -- https://irconference.twse.com.tw/2368_46_20260828_ch.mp4
VIDEO TITLE: replay (partial replay ~11 min, presentation only)
CALL DATE: 08-28-2026
QUARTER: Q2 FY2026
# source label: Gold Circuit Q2 FY2026 (08-28-2026)
# note: verbatim Chinese speech-to-text, no speaker labels; treat numbers with care and
#       cross-check against the MOPS deck when a figure looks off
# segments: 314   characters: 2,611

---
[00:11] 各位投資先進大家下午好
[00:13] 歡迎參加京向電子股份有限公司法人說明會
[00:17] 今日代表出席的長官為楊成榮發言人
[00:21] 還有張景琪財務主管
[00:23] 那我們今日法書會流程江先生對經營成果報告簡報後
[00:28] 在進行Q&A意見交流
[00:30] 接下來我們把時間交給經營團隊 謝謝
[00:33] 副幫的邀請
[00:40] 然後還有非常感謝在為的投資人參加這場會議
[00:44] 謝謝你們
[00:45] 那我們現在就直接進行京向電子法人說明會
[00:49] 謝謝
[01:19] 對不起再請稍等一下謝謝
[01:21] 那沒關係慢慢弄
[01:39] 我有些東西我記得的我先說
[01:42] 我們公司是民國70
[01:44] OK來了免責聲明
[01:46] 好謝謝
[01:47] 本次簡報中若包含有財務資訊的資料
[01:52] 以及未來市場及產品的趨勢
[01:55] 這些說明乃基於目前可以取得以及目前相信是合理性的資料
[01:59] 但這些說明一牽涉風險以及不確定性
[02:02] 本公司實際營運成果可能會與上述說明會有不同的結果
[02:06] 簡報中屬於預測性資料並非本公司未來履行的保證
[02:10] 以注意其隨時有邊緣的可能以及風險
[02:12] 謝謝
[02:13] 這是我們公司的基本資料
[02:18] 我們公司成立民國70年
[02:20] 然後上市的時候是民國87年
[02:23] 目前的股本52億大約大約
[02:28] 產品技術的部分
[02:30] 就是我們是做印刷電路板的硬板
[02:32] 然後是高階的線路板
[02:34] 後銅板以及背板還有HDF
[02:37] 我們生產的基地有五個
[02:39] 台灣廠
[02:40] 然後蘇州廠
[02:42] 長樹一廠
[02:42] 長樹二廠
[02:43] 還有泰國廠
[02:49] 我們全球服務的據點
[02:50] 因為我們大約有超過九成的客人
[02:55] N customer
[02:56] N customer是來自於美國
[02:58] 所以其實我們在美國有一些service office
[03:01] 對 有些服務的據點
[03:02] 對
[03:02] 那工廠就是在台灣 大陸和泰國
[03:06] 謝謝
[03:08] 接下來是我們公司的合併營收
[03:12] 那麼在如果大家從
[03:15] 民國從西元2016年來看的話
[03:18] 西元2016年
[03:19] 在2016到2019的時間
[03:21] 我們公司大約的營收大約在191到200億之間
[03:26] 排回
[03:28] 然後自從2019年2020年2020年開始之後
[03:33] 公司就是賣向200億
[03:35] 然後再往300億走
[03:37] 然後在去年的時候
[03:39] 公司來到了營收將近5991點多
[03:43] 對 5991點多
[03:45] 那今年從1月到7月
[03:48] 目前的營收已經來到了536億
[03:51] 謝謝
[03:51] 好 接下來是產品的應用別
[03:56] 產品應用別的部分的話
[03:59] 大家可以看到在
[04:01] 我先講一下今年第二季好了
[04:02] 今年第二季的產品組合是
[04:05] server的話是78%
[04:07] 然後network也是15%
[04:09] nobook是5%
[04:11] other是2%
[04:21] 然後
[04:23] 大家可以發現就是在過去在2020年的時候
[04:25] 公司的server佔比大約是5成
[04:29] 就是5成
[04:29] 然後接下來6成
[04:31] 那麼當然2023年蠻重要的一年
[04:33] 因為那是AI開始的時候
[04:35] 我們公司的server來到64%
[04:38] 那在今年的第二季
[04:39] 我們公司的server已經來到了78%
[04:42] 第二季的時候
[04:44] 對
[04:45] 然後在networking的部分呢
[04:48] networking部分的話就是我們在
[04:51] 2020年的時候是21%
[04:52] 那今年就是15%
[04:55] 但是是因為我們的營收變比較多
[04:57] 那實際上我們的數值其實是
[04:59] 是還不錯的
[05:00] networking還是增加的
[05:02] 對
[05:02] 那nobook的話我們就比較少了
[05:04] 從過去的20%
[05:06] 2020年的20%到現在的5%
[05:08] 我們的nobook是越做越少
[05:10] 對
[05:11] 謝謝
[05:14] 接下來我們來看一下今年上半年
[05:17] 公司的合併損疫表
[05:19] 然後在今年上半年公司的營業收入
[05:21] 來到了435億
[05:23] 相較於去年同期
[05:25] 去年259億
[05:26] 大約259億
[05:27] 我們成長了68%
[05:30] 在毛利率的部分
[05:31] 今年上半年的毛利率大約是
[05:33] 34.72%
[05:35] 那相較於去年30.38%
[05:38] 我們今年增加了14.31%
[05:41] 這就是4除以30.38
[05:43] 所以得到14.31%
[05:45] 不然大家可能覺得
[05:46] 你不是才增加4%嗎
[05:48] 為什麼這原寫14.31%
[05:49] 好 OK
[05:50] 4除以30%
[05:51] 好
[05:52] 那接下來就是稅前經歷
