SOURCE: 法說會 audio transcribed locally with faster-whisper (small) -- https://gucvod-ott2b.cdn.hinet.net/vod_guc/_definst_/smil:guc/ottliveUpload/video/guc/ch01_20260731154000.mp4/hd-hls-cl-pc.smil/playlist.m3u8
VIDEO TITLE: GUC 2026 Q2 investor conference replay (hinet OTT)
CALL DATE: 07-31-2026
QUARTER: Q2 FY2026
# source label: GUC (Global Unichip) Q2 FY2026 (07-31-2026)
# note: verbatim Chinese speech-to-text, no speaker labels; treat numbers with care and
#       cross-check against the MOPS deck when a figure looks off
# segments: 2130   characters: 21,594

---
[00:00] 各位投資先進 午安
[00:02] 歡迎各位參加創意電子
[00:05] 2026年第二季的法人說明會
[00:08] 在報告開始之前
[00:10] 提醒各位
[00:11] 對於前瞻性的預測將有一定的風險
[00:15] 有關風險說明
[00:17] 請參與我們的safe harbor notice
[00:19] 本說明會內容以及所有的Q&A
[00:23] 將於會議中進行
[00:25] 按照網利
[00:27] 董事長總經理財務長
[00:29] 與會議結束後不進行個別回答
[00:33] 所以請各位投資先進在會議中
[00:36] 盡量踴躍提問
[00:38] 今天的會議
[00:40] 預計進行至3點半
[00:44] 在會議開始之前 我們熱烈請張董事長為我們說幾句話
[00:49] 各位投資的先進
[01:02] 首先謝謝大家
[01:04] 在這邊參加我們的法說會
[01:07] 我是張立思
[01:09] 很高興有這個機會可以跟大家
[01:11] 面對面的交流
[01:13] 首先在這邊我要特別向我們的前
[01:17] 董事長曾凡森博士
[01:19] 致順最大的敬意
[01:21] 感謝他多年的帶領來
[01:24] 創意電子今天是有非常優秀的團隊
[01:27] 以及技術實力
[01:29] 另外呢我也要感謝我的老東家
[01:32] 臺積電
[01:34] 對我的
[01:35] 全力支持與信任
[01:37] 指派我擔任
[01:39] 創意電子的董事長
[01:41] 這對我來說是一個重責大任
[01:45] 那在我的首要的
[01:48] 任務是
[01:49] 在BASE在GUC這兩好的基礎上
[01:52] 然後再加上我在臺積電
[01:55] 29年來
[01:56] 跟全球所有客戶
[01:59] 以及臺積電的幾密合作
[02:01] 我能夠讓
[02:03] 讓
[02:05] 我光線
[02:07] 這樣可以嗎
[02:09] 就是說
[02:10] 29年跟全球客戶的
