SOURCE: 法說會 audio transcribed locally with faster-whisper (small) -- https://irconference.twse.com.tw/4938_131_20260812_ch.mp4
VIDEO TITLE: replay
CALL DATE: 08-12-2026
QUARTER: Q2 FY2026
# source label: Pegatron Q2 FY2026 (08-12-2026)
# note: verbatim Chinese speech-to-text, no speaker labels; treat numbers with care and
#       cross-check against the MOPS deck when a figure looks off
# segments: 1294   characters: 12,264

---
[00:10] 各位投資先進午安,歡迎參加合說聯合科技股份有限公司
[00:15] 2026年第二季先上法說,今天會議將由互保投股研究部主管阿特爾主持
[00:21] 接下來我們就要時間交給阿特爾,謝謝
[00:24] I.B.謝謝,那我今天很高興幫合副組2Q26的法說會
[00:30] 那首先我們要歡迎鄧光志執行長以及鄧光志執行長以及鄧國彥執行長
[00:36] 還有財務長謝如惠
[00:38] 那我們會就這個臺灣的狀況跟大家先說明
[00:42] 那接下來的流程就是先有請I.R. Lilley跟我們大家說明
[00:47] 之後我們再開放Q&A,那 Lilley麻煩
[00:50] 謝謝Authard
[00:51] 各位午安,接下來由我向各位報告合說
[00:55] 2026年第二季的臺灣及業務資訊
[00:58] 在進入今天的報告之前,也請各位閱主第二頁的Jay Paubert-Noter
[01:03] 接著請各位翻到第四頁的合併審議表
[01:08] 2026年上半年合併營收為5185.5億3百萬元
[01:13] 跟去年同期相比,距為下滑3.9%
[01:17] 毛利部分,今年上半年營業毛利為229億5800萬元
[01:22] 毛利率為4.4%
[01:24] 跟去年同期3.4%相比較高
[01:28] 主要是去年第二季有會損金額
[01:31] 且今年另外受惠與資訊產品延誡規模提高
[01:36] 消費信件此,及車用產品件有較佳的產品組合
[01:40] 及生產效率所帶動
[01:42] 在營業費用部分,2026年上半年約159億3100萬元
[01:48] 營業信力約70億2700萬元
[01:52] 營業信力率則為1.4%
[01:55] 較去年同期增加約78%
[01:58] 接下來,2026年上半年的業外收益為41億8200萬元
[02:05] 跟去年同期相比減少約5.9%
[02:09] 主要是今年的投資收益及其他收入較少等金數所致
[02:14] 2026年上半年的稅前營業為112億900萬元
