SOURCE: 法說會 audio transcribed locally with faster-whisper (small) -- https://www.youtube.com/watch?v=50wwIyq4BsM
VIDEO TITLE: replay (official channel replay)
CALL DATE: 08-13-2026
QUARTER: Q2 FY2026
# source label: Phison Q2 FY2026 (08-13-2026)
# note: verbatim Chinese speech-to-text, no speaker labels; treat numbers with care and
#       cross-check against the MOPS deck when a figure looks off
# segments: 2238   characters: 25,343

---
[00:00] 今天我們有五千二十分的獎勵
[00:04] 我的名字是Toria Chen
[00:06] 我是Simi Anas
[00:07] 從Sinopec SIOST
[00:09] SIOST
[00:10] 今天我們很高興
[00:11] 要和K.S.Pra
[00:12] 首席教育部隊的經理
[00:15] 今天K.S.Pra會
[00:16] 提供一些
[00:18] 五千二十分的獎勵
[00:19] 進入這個項目
[00:22] 然後再介紹
[00:23] 然後再介紹
[00:25] 之後我們會
[00:26] 解釋問題
[00:28] 您有任何問題您可以在通知中寄訊息
[00:32] 您可以在訊息中寄訊息
[00:34] 您會有任何問題您會再問
[00:37] 您現在請到KS的評論
[00:42] 謝謝
[00:43] 謝謝
[00:45] 蘇貝爾
[00:46] 早安
[00:48] 各位先生
[00:49] 謝謝辰先生
[00:50] 我們的CQ226
[00:53] 您有任何問題
[00:54] 好
[00:56] 好,那我們開始我們的CQ226表達
[01:05] 自從CQ21我們改善新的
[01:08] 新的A.I.Ecosystems
[01:10] 應用的方式
[01:11] 包括
[01:13] 經營主動電源
[01:15] 電源輸出
[01:16] 電源輸出
[01:17] 電源電源
[01:18] 這些CQ226
[01:21] 有約38%
[01:23] 我們的總商
[01:25] 有68%的QOQ的產品
[01:28] 所以我們仍然有很多
[01:31] 有利的 demand
[01:33] 從A.I.Ecosystems 和企業
[01:35] 的產品
[01:36] 第二位是
[01:38] 我們叫做Ambeded
[01:39] 很多是PCOEM
[01:41] CastMines
[01:43] 是為PC gaming
[01:45] 保護器和手機使用
[01:48] 這有約33%
[01:51] 我們的CQ226
[01:53] 我們有約2x
[01:56] 的Groove QOQ
[01:58] 第三位是
[02:00] 商業模式
[02:02] 有約78%
[02:04] retail 下跌了5%
[02:07] 我們CQ226
[02:10] 因為我們有約2%的Groove
[02:13] 我們有約2%的CQ22
[02:15] 我們有約2%的CQ22
[02:18] 您可以知道
[02:20] 我們知道
[02:21] 我們線腔PCOEM
[02:23] 清單互為
[02:42] A.I.Ecosystems company
[02:46] 取消之後
[02:48] 您可以包括
[02:50] 我希望大家可以在這裡花時間
[02:52] 我想要提供一個大量的資源
[02:54] 我們增加了7.5億元
[02:57] 這是我們新的項目
[02:59] 這已經是我們新的項目
[03:01] 我們很多年都很努力
[03:04] 在我們新的項目中
[03:08] 我們新的項目
[03:10] 67.8億元
[03:12] 我們第一項是100億元
[03:16] 其實我試過
[03:19] 在2025年
[03:21] 我們失去100億元的NT
[03:25] 但我們在這項目中
[03:27] 大量的資源
[03:31] 65.3%
[03:33] 但這也有
[03:35] 我們公司的利益
[03:37] 我們想要更加的保存
[03:39] 所以我們有1.1%的利益
[03:41] 是利益的利益
[03:43] 所以
[03:45] 我們保留了
[03:47] 利益
[03:49] 利益用途
[03:51] 我們寫下
[03:53] 我們要保留保存
[03:55] 所以我們第一項
[03:57] 是63.8%
[04:00] 利益
[04:02] CQ2的利益
[04:04] 是118億元
[04:06] 我們包括14億元
[04:08] 我們
[04:10] 我們所謂的投資
[04:12] 118億元是
[04:14] 澳大利亞
[04:16] 我們第一項是187億元
[04:21] 我們在我們的投資計劃
[04:23] 我們可以看到
[04:25] 我們有很多的利益
[04:27] 這部分我只想分享
[04:29] 特別是我們的R&D
[04:31] 一些利益
[04:33] 可能有關
[04:35] 我們的投資計劃
[04:37] 但
[04:38] 很多年代
[04:39] 我們需要
[04:41] 在我們的R&D
[04:43] 進行討論
[04:45] 所以我們可以
[04:47] 在我們之前的CQ2
[04:49] 跟Lasis Q2
[04:50] 是約6.5x
[04:53] 約7x的投資
[04:55] 為什麼
[04:56] 因為
[04:57] AI
[04:59] 我們需要保留
[05:01] 新的構構
[05:03] 在這兩年
[05:04] 我們有很多新的手機
[05:06] 控制人數
[05:07] 高速PCOM
[05:09] 公司
[05:10] 導彈
[05:12] 一些新的設計
[05:14] 4 、5年
[05:16] 所以我们得到
[05:18] 市场的原因是为什么
[05:20] 因为前五年我们没有
[05:22] 市场的好运货
[05:24] 我们继续持有很大的投资
[05:26] 所以我们可以展现
[05:28] 很好的表现
[05:30] 所以在这两个半年
[05:32] Fyzen继续持有很大的投资
[05:34] 我们要保持
[05:36] 很大的投资
[05:38] 我们能够发展新的项目
[05:40] 和在这市场里
[05:42] 尝试
[05:44] 好的
[05:47] 最好的事
[05:49] 首先,在CQ1
[05:51] Fyzen
[05:53] 我们有开放
[05:55] 但回到CQ2
[05:57] 我们现在的AR
[05:59] 回到
[06:01] 我们有1CB
[06:03] 800 亿美元
[06:05] CQ2,这就会发生
[06:07] 所以CQ2现在我们在做
[06:09] 在CQ2的
[06:11] 分析
[06:13] 我们要保持
[06:15] 一切的质疑
[06:17] 我们每个月都会带来的
[06:19] 所以
[06:21] 我不知道你相信还是不
[06:25] NameFlash
[06:27] 是很难
[06:29] 提出贡献
[06:31] 无论你付多少贡献
[06:33] 贡献现在已经有很大的问题
[06:35] 所以我们的贡献
[06:37] 每个月都会带来的
[06:39] 所以我们的贡献
[06:41] 我们要保持
[06:43] 我们的设计
[06:45] 但不过
[06:47] 在这一年
[06:49] 我们有很多新的
[06:51] 新设计
[06:53] 从CSP
[06:55] Near Cloud OEM
[06:57] 我们仍然
[06:59] 尝试
[07:01] 能够够发展贡献
[07:03] 所以
[07:05] 如果你们已经问我
[07:07] 我们有足够的贡献
[07:09] 我告诉你
[07:11] 我们将会在这一年
[07:13] 和明年
[07:15] 我们要分享一些
[07:19] 有关贡献的
[07:21] 但基本上
[07:23] 我们的贡献
[07:25] 都不太不同
[07:27] 我们的贡献
[07:29] 是我们的贡献
[07:31] 所以我们没有
[07:33] 贡献的贡献
[07:35] 所以我们的贡献
[07:37] 仍然有很多不同的贡献
[07:39] 所以我们的贡献
[07:41] 是我们的贡献
[07:43] 这些贡献
[07:45] 我们要做一些
[07:47] 多年内的贡献
[07:49] 我们的贡献
[07:51] 我们要把贡献
[07:53] 和贡献的贡献
[07:55] 对于我们的贡献
[07:57] 我们的贡献
[07:59] 我们的贡献
[08:01] 是我们的贡献
[08:03] 但是我们的控制力增加
[08:07] 也就是我们赢得了大量的产业
[08:10] 我觉得这些产业是最后五年
[08:13] 发生的价值继续投资
[08:15] OK 从来没有投资
[08:17] 这些产业继续投资
[08:17] 这些是为了PCOM的
[08:20] 主要费用的产业
[08:21] 他们相信发生的
[08:22] 他们会做得更加快的
[08:24] 发生的
[08:25] 所以我们相信
[08:27] 两年多
[08:27] 市场的使用
[08:29] 手机、PC、帮助帮助
[08:30] 为什么
[08:31] 因为你使用的手机
[08:33] 将会在两年之后
[08:34] 发生的产业
[08:35] 所以我们要回到
[08:36] 如果在26年之后
[08:39] 我们能够继续赢得
[08:40] 产业的控制力
[08:43] 也就是28、29年
[08:44] 我们肯定能享受
[08:46] 好回应的一段时间
[08:47] 但是我们要付出
[08:49] 是大量的产业
[08:52] 所以我们继续投资
[08:54] 成为产业
[08:56] OK
[08:58] 这些产业继续投资
[08:59] 是我们花了太多时间
[09:00] 我们没有时间
[09:02] 我们要花太多时间
[09:05] 产业的控制力
[09:07] 是一公斤
[09:09] 现在
[09:11] 使用人们开始
[09:12] 去看一张画面
[09:12] 是一万万
[09:14] 有些人已经有一个视频
[09:15] 一个视频
[09:16] 从中国、从美国
[09:17] 是一万万
[09:19] 不过如果去看
[09:20] 产业的控制力
[09:21] 如果开始使用
[09:22] 产业的控制力
[09:23] 在你的平台上
[09:23] 没有用的
[09:24] 使用手机、PC
[09:25] 在主机上
[09:26] 用手机
[09:27] 或者去到公司
[09:29] 你会发现
[09:30] 一个产业的控制力
[09:33] 所以
[09:33] 我不知道
[09:35] 人们说
[09:35] 可以把
[09:37] 产业的控制力
[09:39] 在27、28年
[09:40] 我不觉得是这样
[09:41] 为什么
[09:42] 因为
[09:42] 产业的控制力
[09:43] 正在发生
[09:46] 所以这一张
[09:48] 在我们的
[09:49] 《产业的控制力》
[09:51] 中的5层
[09:52] 是什么
[09:54] 我觉得你会
[09:55] 去看这一张
[09:57] 是什么
[09:58] 我们的主机
[09:59] 在这个产业
[10:01] 首先
[10:02] 我们有控制力
[10:03] 控制力
[10:03] 不仅是
[10:04] 电脑、PC
[10:06] 但我们有很多
[10:07] 主机
[10:08] 和产业
[10:09] 还有一些
[10:09] 主机的控制力
[10:11] 在这一层
[10:13] 我们也有
[10:15] 不同的模式
[10:17] 主机
[10:17] 主机
[10:19] 到
[10:19] 所谓的
[10:20] 制造
[10:22] 最后
[10:22] Fyzen
[10:23] 我们有
[10:23] 主机
[10:24] 现在
[10:25] 我们转到
[10:26] Fyzen AI Data Platform
[10:28] 是一个 AI 项目
[10:32] 两天前
[10:32] 我们的主机
[10:33] 也提供了
[10:34] Fyzen
[10:35] 发生了
[10:37] 产业
[10:38] 第一个
[10:40] 是20亿美元
[10:41] 估计到
[10:41] 600亿美元
[10:43] 我们要
[10:44] 开始
[10:44] 投资
[10:45] 很多
[10:45] 产业的
[10:46] ICV
[10:47] 他们
[10:48] 在Fyzen
[10:50] 达到的
[10:51] 所以
[10:51] 在这五层
[10:52] Fyzen
[10:52] 发生了
[10:53] 新的
[10:54] 新的
[10:55] 新的
[10:56] 项目
[10:57] 所以我们
[10:58] 发生了
[11:01] 所以
[11:02] 我们现在
[11:03] 在Fyzen
[11:04] 我们转到
[11:05] Treat.O
[11:07] 我们今天
[11:08] 想要花时间
