SOURCE: 法說會 audio transcribed locally with faster-whisper (small) -- https://irconference.twse.com.tw/6274_47_20260730_ch.mp4
VIDEO TITLE: replay
CALL DATE: 07-30-2026
QUARTER: Q2 FY2026
# source label: Taiwan Union Technology (TUC) Q2 FY2026 (07-30-2026)
# note: verbatim Chinese speech-to-text, no speaker labels; treat numbers with care and
#       cross-check against the MOPS deck when a figure looks off
# segments: 252   characters: 2,365

---
[00:04] 各位投資先進午安
[00:06] 歡迎大家上線參與台要的現象會議
[00:09] 那首先再次邀請我們今天與會長官
[00:11] 發言人黃文旭副總
[00:13] 等一下我們會邀請發言人
[00:15] 先就公事前一季的營運結果做簡報
[00:18] 那之後再開放QA
[00:20] 那副總我就把時間交給你囉
[00:22] 謝謝
[00:22] 好
[00:23] 各位投資先進大家好
[00:26] 那下午午安
[00:27] 那我們現在開始
[00:29] 說明一下我們第二季的一個營運存過
[00:33] 那我們可以看到
[00:35] 從去年開始
[00:37] 那TUC的這個成長有加速的一個狀況
[00:42] 那我們看到QB的營業
[00:44] 就開始往上一直接近這個成長的突破
[00:48] 那我們現在基本上
[00:51] 在第二季都已經在45以上
[00:54] 那現在這個整個表現
[00:57] 相較於第一季來講又跟上一層樓
[01:00] 那如果以QOQ來講高達
[01:03] 42%
[01:04] 那相較於去年的話
[01:06] 是成長了110%
[01:09] 那在獲利毛利率的部分我們也看到
[01:12] 這個毛利率相較於去年同期
[01:15] 以及第一季都有非常明顯的成長
[01:19] 那一般
[01:20] 也比
[01:22] 一般的一個共識要來的強勁
[01:26] 那我們看到這個OP Margin的部分
[01:29] 各位常常會關心這個OPAS的
[01:32] 會怎麼樣的一個發展
[01:34] 那基本上營業增加的話
[01:37] OPAS也會相對於你的成長
[01:39] 但是因為規模效應的發生
[01:42] 所以
[01:43] 各位會看到這個OPAS的Ratio
[01:46] 會比這個營業額的成長要來得低
[01:50] 也就是說OP Margin
[01:52] 在規模的擴大之下
[01:55] 它可能會進一步的放高
[01:56] 那我們看到到第二季
[01:58] 來到了23.5
[02:00] 那我們相信是一個非常好的一個成長
[02:03] 那相較去年這個算是幾乎是
[02:06] 是double
[02:07] 那我們也只破了20%
[02:10] 那第一季的話是18.2
[02:12] 那我們到第二季來到了23.5
[02:15] 那我相信是一個非常好的一個成績
[02:19] 那我們在業外的部分
[02:21] 本身並沒有太多的影響
[02:23] 基本上就是
[02:25] 利息的收支還有這個費費的費用
[02:29] 那看起來略微有利
[02:31] 主要是台幣的一個電池
[02:34] 對派會帶來
[02:37] 不過對派佔整個
[02:39] 我們的OP的Margin並不算大
[02:42] 所以還是一本業為止
[02:45] 那各位會比較關心
[02:46] 就是費力的部分會比較高
[02:49] 那費力的部分
[02:51] 當然有些一些影響
[02:53] 先是第一季的未分配影費
[02:56] 那在第二季的話
[02:59] 因為我們的貸款還沒有轉正
[03:01] 那這一塊
[03:03] 在合併之下
[03:04] 各位會發現他的一個費力就會
[03:07] 計算上就會平高
[03:09] 那另外呢我們在
[03:11] 這個未分配影費的客吞
[03:14] 那過去的話
[03:16] 我們基本上有投資在台灣
[03:18] 所以
[03:20] 那個未分配影費就可以回來
[03:22] 但是現在
[03:23] 主要我們是在東南亞太過
[03:26] 所以這一塊費力會有利
[03:29] 那另外我們在其他的一個
[03:34] 這個
[03:35] 研發的OP底等等部分
[03:38] 都採取一個比較
[03:40] 保守的一個顧及
[03:41] 大致上是如此
[03:43] 那我們看到各位比較關心的
[03:49] 組合
[03:50] 那組合我們知道說
[03:51] 在等個第二季
[03:53] 他有一個比較大的一個漲價潮
[03:55] 那漲價的話
[03:59] 由高低階到高階
[04:01] 那越往低階他的一個
[04:03] 漲幅就越大
[04:05] 所以說
[04:07] 理論上
[04:08] 如果量都不變的話
[04:10] 應該低階的比都會平高
[04:12] 但是最後的結果我們可以看出來
[04:14] 板塊還是往M7 M8再跑
[04:17] 所以相較於第一季來看的話
[04:19] M7 M8
[04:21] 雖然他漲的比較少
[04:22] 但是他的比重還是增加
[04:24] 表示說
[04:25] 等於臺民組合是在優化
[04:27] 是往這邊跑
[04:28] 那這也是為什麼
[04:29] 毛利可以增長的一個原因
[04:31] 那第一季是38
[04:33] 那現在第二季到了39
[04:35] 那意味著我們還有很大的一個
[04:37] 臀臟空間
[04:39] 那另外我們看到M4跟M6
[04:42] 也就是潛綠色的部分
[04:45] Rollers以及Berry Rollers是
[04:48] 第一季是32
[04:49] 那這一季來到31
[04:51] 那雖然他漲的大
[04:52] 但是他的比重減少
[04:54] 這也是符合我們的一個設計
[04:56] 那阿德爾可能這一塊就是比較特殊用板
[04:59] 那可能他就是在支援
[05:02] 這個Power
[05:03] 那還有
[05:06] 這個後銅類的一個特殊的溺曲的產品
[05:09] 那這一塊成長非常的深度
[05:12] 我們大概第一季他是12%
[05:13] 那去年第四季是10%
[05:16] 去年的第三季是8%
[05:18] 那現在在公司的YY這麼高資下
[05:22] 他還能夠比重
[05:24] 幾乎翻倍
[05:26] 表示說這一塊的一個成長
[05:27] 非常非常的強勁
[05:29] 那也表示Forty UC在這個領域
[05:31] 是
[05:34] 是一個Leader的一個角色
[05:37] 那第二季來到14%
[05:40] 那這一部分也是我們
[05:43] 蠻重視的一個談明線
[05:45] 那我們也會跟客人一起成長
[05:47] 那Nanlos的話雖然他的長度會大
[05:49] 可是可以看到他的比重還是下滑
[05:53] 也就是說他的一個量
[05:56] 他的一個蛋筆
[05:58] 至少上一季是8到這一季的16
[06:01] 也是符合我們的一個策略設定
[06:07] 那這產負在表的部分
[06:08] 各位會看到庫存
[06:10] 庫存來到了100億
[06:11] 但是跟第一季相距不遠
[06:14] 那
[06:15] 可以理解我們第二季的一個營收
[06:18] 是比第一季多非常的多
[06:19] 表示說這個庫存
[06:21] 的去發速度也相當的快
[06:24] 所以我們看下面的一個
[06:27] 這個存貨周轉率
[06:28] 他反而是減少到90天了
[06:31] 也就是說現在的一個庫存量
[06:32] 恐怕還要再繼續增加
[06:35] 那因為未來的一個產能會持續的開除
[06:38] 所以我們在庫存的一個區域
[06:40] 還是列為公司的一個重要的工作項目
[06:44] 那其他的一個指標
[06:46] 包括營收站外的周轉率
[06:48] 還有一個現金流動的比
[06:51] 就是流動資金比
[06:53] 那還有這個資產的一個
[06:56] 比值標都非常的好
[07:01] 那Katech Pro的話
[07:04] 大部分我們
[07:07] 還是蠻健康的
[07:08] 那現在就是說
[07:09] 因為現在在營收的成長有狀況
[07:12] 所以短期會看到
[07:13] 營業活動的現金是呈現流出
[07:16] 那主要就是在庫存
[07:18] 還有營收上款
[07:19] 這個部分
[07:20] 那還有資本支付
[07:21] 也會組建了一個加大
[07:24] 那其他大愛的主持
[07:28] 那接下來我們請那個主持人
[07:31] Q&A
[07:34] 好啊謝謝副總
[07:36] 副總我這邊有先收集到題目
[07:38] 那有法人先進想要請副總看可不可以再
[07:41] 幫我們再多分享一下
[07:43] 各產品線的漲價進度呢
[07:48] 因為我們當然不大能去透露漲價
[07:51] 因為漲價的幅度是根據客人不一樣
[07:56] 那但是基本上的一個趨勢就是
[07:59] 月往低階他就是漲越多
[08:03] 那我們這次
[08:05] 董事會有幾個比較重要的決議事項
[08:09] 那這邊跟各位報告
[08:10] 第一個就是資本支付
[08:12] 那我們第一季
[08:15] 3月11號的董事會
[08:16] 通過120萬張在場所
[08:20] 以及泰國的各60萬張之後
[08:23] 我們這次董事會又宣布了
[08:27] 2028年以及2029年的計畫
[08:31] 那基本上我們會增加195萬張
[08:35] 那增加產能的一個地點
[08:37] 就是中山中山會增加120萬張
[08:40] 那泰國的話會增加
[08:42] 75萬張
[08:43] 也就是泰國廠的2G2
[08:48] 那另外一個決議事項就是
[08:51] 你發行100億的
[08:53] 可轉換公司在
[08:55] 以上報告
[08:58] 好謝謝副總
[08:59] 那副總可以再幫我們再多更新一下
[09:01] 泰國廠目前的進度嗎
[09:03] 謝謝
[09:04] 泰國廠
[09:05] 在第二季末的時候由於設備的地顏
[09:09] 所以比我們原本預想的量產時間
[09:13] 完了大概兩個月
[09:14] 但是因為我們一之一的經驗
[09:19] 讓我們在一之二的這個成長曲線可以縮短
[09:22] 所以我們搶在7月份
[09:25] 他開始就有
[09:27] 閃亮的灼亮貢獻
[09:29] 那這個會比我們原本設定的
[09:32] 照之前的經驗
[09:34] 預估要提早
[09:36] 那我們現在到8月份
[09:38] 會比7月份還要多
[09:39] 就進入一個爬坡的一個階段
[09:41] 那我相信會對第三季的業績
[09:44] 會很有幫助
[09:45] 那預計到了第四季
[09:48] 應該就可以全產了
[09:54] 好謝謝副總
[09:54] 那不曉得現象先進來嗎
[09:56] 跟其他問題想要提問呢
[10:00] 如果大家沒有跟進一步提問的話
[10:02] 那我們今天現象會議就到此告一個段落
[10:05] 謝謝大家的參與
[10:06] 那請
[10:07] 那我們就下次再見囉
[10:08] 謝謝
