SOURCE: 法說會 audio transcribed locally with faster-whisper (small) -- http://www.vpec.com.tw/vpec/hmanager/hmanager_c/files/fck_files/media/20260527.mp4
VIDEO TITLE: replay
CALL DATE: 05-27-2026
QUARTER: Q1 FY2026
# source label: VPEC Q1 FY2026 (05-27-2026)
# note: verbatim Chinese speech-to-text, no speaker labels; treat numbers with care and
#       cross-check against the MOPS deck when a figure looks off
# segments: 346   characters: 3,463

---
[00:00] 各位口誌先進 吳安娜歡迎大家來參加
[00:02] 台星2026年第二季的全球活動論壇
[00:05] 今天很榮幸邀請到全新來為我們介紹
[00:09] 公司靈蓋礦及外來的角望
[00:11] 那我們把時間交給公司 謝謝
[00:14] 各位口誌先進 大家午安
[00:15] 大家好 我是全新光臉的蔣志傑
[00:18] 今天我跟大家介紹一下
[00:27] 我們公司簡介還有進攻更新的部分
[00:32] 投影片大概有12張
[00:34] 會分別就核心技術
[00:37] 還有化合物半導體的特性
[00:40] 跟微電子及光電子的產業公立鏈
[00:44] 另外還有一個財務素質
[00:46] 跟未來的掌望跟大家做一個本項
[00:51] 這個是我們的機台的一個跑面圖
[00:55] 我們的主要生產線就是MOSCVD
[00:58] 目前公司現在有62台
[01:02] 到現今為止是62台
[01:05] 今年已經構置了五台MOSCVD
[01:09] 所以第三季的時候全部都會進來
[01:13] 所以到時候會有67台MOSCVD
[01:17] 這個一台的大小
[01:21] 我們就想像一下
[01:22] 跟一個汽車的停車位差不多
[01:24] 那個大小
[01:27] 我們這個圖
[01:31] 這個大家可以參考一下
[01:32] 這個只是一個意識圖
[01:35] 這是跟大家說我們是各種尺寸都可以做
[01:38] 各種尺寸都可以做
[01:40] 譬如說微電子的客人他們都要6吋的
[01:44] 那我們全部都會放6吋
[01:46] 那光電子的客人可能最大只用到4吋
[01:50] 這個轉盤就會換掉
[01:53] 我就把它換成4吋的轉盤
[01:55] 就是櫻桃小丸子跟紅豆餅
[01:59] 大概那個感覺
[02:05] 好 那我們的機台剛有跟大家報報
[02:09] MOSCVD有基金屬氣象成績法
[02:12] 那它的生長方式跟生產原理在這邊
[02:16] 那大家可以參考一下
[02:17] 它主要是在基本上
[02:21] 生長半導體薄膜的方式
[02:23] 透過機台的即時監控
[02:26] 精確的控制雷晶層
[02:29] 所以它會完成生化加靈化
[02:31] 去淡化加各種不同的雷晶片的生產
