SOURCE: 法說會 audio transcribed locally with faster-whisper (small) -- https://www.youtube.com/watch?v=OjUKhWDTmPY
VIDEO TITLE: replay
CALL DATE: 08-11-2026
QUARTER: Q2 FY2026
# source label: Zhen Ding Q2 FY2026 (08-11-2026)
# note: verbatim Chinese speech-to-text, no speaker labels; treat numbers with care and
#       cross-check against the MOPS deck when a figure looks off
# segments: 1413   characters: 13,097

---
[00:02] 申請科技控股部分有限公司
[00:08] 2026年上半年營運成果法人說明會將於3分鐘後開始
[00:13] 提醒您如果您有任何想要請教公司的問題
[00:16] 歡迎在Q&A功能輸入您的問題
[00:20] 我們將於簡報接觸進行Q&A
[00:22] 如果您使用TeamApp
[00:25] 無法看到Q&A功能可以改為用
[00:28] 網頁版參與法說會
[00:31] 謝謝
[00:32] 營務可以打開
[03:00] 各位線上參與的投資先進
[03:02] 大家下午好
[03:03] 我是今天的法說會主持人
[03:05] 歡亮國際QIC執行長Alex李鴻基
[03:10] 歡迎大家再度參與
[03:12] 申請科技控股2026年上半年營運成果線上法人說明會
[03:19] 線上的與會公司代表有
[03:21] 申請董事長整慶方先生
[03:25] 董經理
[03:27] 簡徵副先生
[03:28] 與財務長
[03:29] 江謙宜先生
[03:31] 在開始前請各位先閱讀本頁免責聲明
[03:37] 另外2026年上半年財務數字及法說會簡報
[03:41] 將於
[03:42] 會後公告於公司官網及公開資訊觀測站
[03:47] 公各位下載參與
[03:49] 謝謝
[03:50] 本支法說會將共分為三個部分
[03:53] 首先將由江財務長向大家說明2026年上半年的營運成果
[03:59] 接著由省慶方董事長說明真頂的策略布局
[04:04] 再來由簡徵副總經理說明整體營運規劃及執行狀況
[04:10] 首先我們先邀請江謙宜財務長向大家說明
[04:16] 2026年上半年的營運成果
[04:18] 謝謝
[04:21] 各位投資先進
[04:22] 各位關心真頂的朋友們
[04:25] 大家好
[04:26] 首先由我向各位報告
[04:28] 真頂2026年第二季和上半年的營運成果及財務的表現
[04:35] 首先報告2026第二季的營運的成果
[04:40] 高階AI應用產品一計畫推進導入及量產
[04:44] 以及高階高附加價值產品佔比提升之下
[04:49] 2026第二季營收部分就要去年同季成長26.8%
[04:54] 進營收達到台幣484億元創下歷年以來同期營收的新高
[05:01] 毛利率則上升到23.1
[05:04] 就要去年同季高出4.7個百分點
[05:07] 也創下了歷年同期毛利率的新高
[05:13] 費用方面基於產品開發的需求
[05:16] 研發費用增加的台幣16億
