chain	owner	role	counterparty	label
accelerators/nvidia_vera_rubin.json	Naver Cloud	customer	Bank of Korea	Naver Cloud Q2 FY2026 (08-14-2026)
accelerators/nvidia_vera_rubin.json	Naver Cloud	customer	Korea Hydro & Nuclear Power	Naver Cloud Q2 FY2026 (08-14-2026)
accelerators/nvidia_vera_rubin.json	Naver Cloud	customer	Saudi NHC Innovation	Naver Cloud Q2 FY2026 (08-14-2026)
components/hbm_memory.json	Jusung Engineering	customer	LG Display	Jusung Engineering Q2 FY2026 (08-14-2026)
components/hbm_memory.json	EO Technics	customer	LG Display	EO Technics Q2 FY2026 (08-14-2026)
components/hbm_memory.json	Soulbrain	customer	LG Display	Soulbrain Q2 FY2026 (08-14-2026)
components/hbm_memory.json	Techwing	customer	Samsung Display	Techwing Q2 FY2026 (08-14-2026)
components/hbm_memory.json	Soulbrain	customer	Samsung Display	Soulbrain Q2 FY2026 (08-14-2026)
components/hbm_memory.json	Soulbrain	customer	Samsung SDI	Soulbrain Q2 FY2026 (08-14-2026)
components/hbm_memory.json	Samsung	customer	Hong Kong Techtronics	Samsung Q2 FY2026 (08-14-2026)
components/hbm_memory.json	Samsung	customer	Supreme Electronics	Samsung Q2 FY2026 (08-14-2026)
components/hbm_memory.json	EO Technics	customer	Texas Instruments	EO Technics Q2 FY2026 (08-14-2026)
components/hbm_memory.json	Hanmi Semiconductor	customer	Infineon	Hanmi Semiconductor Q2 FY2026 (08-14-2026)
components/hbm_memory.json	Techwing	customer	Infineon	Techwing Q2 FY2026 (08-14-2026)
components/hbm_memory.json	Hanmi Semiconductor	customer	STMicroelectronics	Hanmi Semiconductor Q2 FY2026 (08-14-2026)
components/hbm_memory.json	Hanmi Semiconductor	customer	Skyworks	Hanmi Semiconductor Q2 FY2026 (08-14-2026)
components/hbm_memory.json	Samsung	supplier	Intel	Samsung Q2 FY2026 (08-14-2026)
components/hbm_memory.json	Techwing	customer	Intel	Techwing Q2 FY2026 (08-14-2026)
components/hbm_memory.json	Samsung	customer	Apple	Samsung Q2 FY2026 (08-14-2026)
components/hbm_memory.json	Samsung	supplier	Qualcomm	Samsung Q2 FY2026 (08-14-2026)
components/hbm_memory.json	Samsung	supplier	Kioxia	Samsung Q2 FY2026 (08-14-2026)
components/hbm_memory.json	Mirae Industry	customer	Yangtze Memory Technologies	Mirae Industry Q2 FY2026 (08-13-2026)
components/hbm_memory.json	Hanmi Semiconductor	customer	Luxshare	Hanmi Semiconductor Q2 FY2026 (08-14-2026)
components/hbm_memory.json	Mirae Industry	customer	Yilining Precision	Mirae Industry Q2 FY2026 (08-13-2026)
components/hbm_memory.json	Mirae Industry	customer	Yilining Precision	Mirae Industry Q2 FY2026 (08-13-2026)
components/hbm_memory.json	Mirae Industry	customer	Yilining Precision	Mirae Industry Q2 FY2026 (08-13-2026)
components/hbm_memory.json	Mirae Industry	customer	Unimos Microelectronics	Mirae Industry Q2 FY2026 (08-13-2026)
components/hbm_memory.json	Mirae Industry	customer	Unimos Microelectronics	Mirae Industry Q2 FY2026 (08-13-2026)
components/hbm_memory.json	Soulbrain	supplier	MC Solution	Soulbrain Q2 FY2026 (08-14-2026)
components/hbm_memory.json	Soulbrain	supplier	Materials Park	Soulbrain Q2 FY2026 (08-14-2026)
components/hbm_memory.json	Samsung	supplier	Partron	Samsung Q2 FY2026 (08-14-2026)
components/hbm_memory.json	Techwing	supplier	Dasom Tech	Techwing Q2 FY2026 (08-14-2026)
components/hbm_memory.json	Techwing	supplier	Nano Ace	Techwing Q2 FY2026 (08-14-2026)
components/hbm_memory.json	Techwing	supplier	Trutech	Techwing Q2 FY2026 (08-14-2026)
components/hbm_memory.json	Wonik IPS	supplier	Wonik Corp	Wonik IPS Q2 FY2026 (08-14-2026)
components/power_cooling.json	LS Electric	customer	KEPCO	LS Electric Q2 FY2026 (08-14-2026)
