company,ticker,date,flag,jump_vs_SOXX,jump_vs_SPY,jump_vs_QQQ,drift5_vs_SOXX,drift5_vs_SPY,drift5_vs_QQQ,drift10_vs_SOXX,drift10_vs_SPY,drift10_vs_QQQ,drift20_vs_SOXX,drift20_vs_SPY,drift20_vs_QQQ
AMD,AMD,2026-05-05,0,0.13614,0.17225,0.16537,0.01496,0.04566,0.02999,0.03564,0.05204,0.03717,0.0525,0.20991,0.17716
ASE Group,ASX,2026-04-29,1,0.00136,0.01686,0.01748,-0.00556,0.04347,0.02071,-0.02639,0.08119,0.0443,-0.01232,0.16832,0.11526
ASML,ASML,2026-04-15,0,-0.05805,-0.05033,-0.05269,-0.0814,-0.00474,-0.01216,-0.1145,-0.00204,-0.02039,-0.1801,0.05927,0.00171
Amazon Web Services,AMZN,2026-04-29,1,-0.01777,-0.00227,-0.00165,-0.04396,0.00507,-0.01768,-0.14049,-0.03291,-0.0698,-0.21222,-0.03157,-0.08463
Amkor Technology,AMKR,2026-04-27,0,-0.01966,-0.05147,-0.04628,-0.02537,0.058,0.03838,-0.14686,-0.00793,-0.04628,-0.27391,-0.04284,-0.09771
Amphenol,APH,2026-04-30,0,-0.04309,-0.03652,-0.04335,-0.2174,-0.12383,-0.15528,-0.2134,-0.14727,-0.17317,-0.19959,-0.02419,-0.07335
Analog Devices,ADI,2026-05-20,0,-0.04323,-0.03675,-0.03668,-0.00742,0.05862,0.04384,0.01888,0.05454,0.0608,,,
Apple,AAPL,2026-04-30,0,0.02305,0.02962,0.02279,-0.07007,0.0235,-0.00795,-0.01913,0.047,0.02111,-0.13355,0.04185,-0.00732
Applied Digital,APLD,2026-04-09,0,0.00594,0.02765,0.02554,0.12539,0.15553,0.13886,0.13806,0.28132,0.24564,0.22499,0.48523,0.40692
Applied Materials,AMAT,2026-05-14,0,0.03164,0.00309,0.00614,-0.06564,-0.01774,-0.02113,-0.07403,0.02446,0.00297,,,
Applied Optoelectronics,AAOI,2026-05-07,0,-0.1114,-0.06291,-0.07809,0.30074,0.276,0.28133,0.18581,0.20767,0.20967,0.22195,0.31809,0.31346
Arista,ANET,2026-05-05,1,-0.18607,-0.14996,-0.15683,-0.08557,-0.05487,-0.07054,-0.07119,-0.05479,-0.06966,-0.06024,0.09716,0.06441
Arm Holdings,ARM,2026-05-06,0,-0.07247,-0.09803,-0.0999,-0.0053,0.04853,0.03545,0.3324,0.38288,0.36995,0.51137,0.5995,0.5931
Astera Labs,ALAB,2026-05-05,0,-0.05826,-0.02215,-0.02903,0.00533,0.03603,0.02037,0.31741,0.33382,0.31895,0.48473,0.64214,0.60939
Broadcom,AVGO,2026-06-03,0,-0.10482,-0.12965,-0.12103,,,,,,,,,
